	Unnamed: 0	свой_DET	свой_DET.1	свой_DET.2	свой_DET.3	свой_DET.4	они_PRON	они_PRON.1	они_PRON.2	они_PRON.3	они_PRON.4	он_PRON	он_PRON.1	он_PRON.2	он_PRON.3	он_PRON.4	время_NOUN	время_NOUN.1	время_NOUN.2	время_NOUN.3	время_NOUN.4	человек_NOUN	человек_NOUN.1	человек_NOUN.2	человек_NOUN.3	человек_NOUN.4	очень_ADV	очень_ADV.1	очень_ADV.2	очень_ADV.3	очень_ADV.4	она_PRON	она_PRON.1	она_PRON.2	она_PRON.3	она_PRON.4	мочь_VERB	мочь_VERB.1	мочь_VERB.2	мочь_VERB.3	мочь_VERB.4	мой_DET	мой_DET.1	мой_DET.2	мой_DET.3	мой_DET.4	мы_PRON	мы_PRON.1	мы_PRON.2	мы_PRON.3	мы_PRON.4	жизнь_NOUN	жизнь_NOUN.1	жизнь_NOUN.2	жизнь_NOUN.3	жизнь_NOUN.4	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	знать_VERB	знать_VERB.1	знать_VERB.2	знать_VERB.3	знать_VERB.4	год_NOUN	год_NOUN.1	год_NOUN.2	год_NOUN.3	год_NOUN.4	ждать_VERB	ждать_VERB.1	ждать_VERB.2	ждать_VERB.3	ждать_VERB.4	день_NOUN	день_NOUN.1	день_NOUN.2	день_NOUN.3	день_NOUN.4	видеть_VERB	видеть_VERB.1	видеть_VERB.2	видеть_VERB.3	видеть_VERB.4
	Unnamed: 0	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim.1	Pearson C.1	P-value.1	Occ.1	P-Bonferroni.1	Dim.2	Pearson C.2	P-value.2	Occ.2	P-Bonferroni.2	Dim.3	Pearson C.3	P-value.3	Occ.3	P-Bonferroni.3	Dim.4	Pearson C.4	P-value.4	Occ.4	P-Bonferroni.4	Dim.5	Pearson C.5	P-value.5	Occ.5	P-Bonferroni.5	Dim.6	Pearson C.6	P-value.6	Occ.6	P-Bonferroni.6	Dim.7	Pearson C.7	P-value.7	Occ.7	P-Bonferroni.7	Dim.8	Pearson C.8	P-value.8	Occ.8	P-Bonferroni.8	Dim.9	Pearson C.9	P-value.9	Occ.9	P-Bonferroni.9	Dim.10	Pearson C.10	P-value.10	Occ.10	P-Bonferroni.10	Dim.11	Pearson C.11	P-value.11	Occ.11	P-Bonferroni.11	Dim.12	Pearson C.12	P-value.12	Occ.12	P-Bonferroni.12	Dim.13	Pearson C.13	P-value.13	Occ.13	P-Bonferroni.13	Dim.14	Pearson C.14	P-value.14	Occ.14	P-Bonferroni.14	Dim.15	Pearson C.15	P-value.15	Occ.15	P-Bonferroni.15	Dim.16	Pearson C.16	P-value.16	Occ.16	P-Bonferroni.16
0	0	57_улица-дом	0.1598454546548634	0.012414407924715279	244.0	3.0291155336305287	133_торможение-развитие	-0.16933983374136669	0.02085321104706352	186.0	3.878697254753815	88_лишение-наделение	-0.19118800340803666	0.004250112115165856	222.0	0.94352488956682	24_активность-пассивность	-0.12556876947869494	0.030225131213421363	298.0	9.007089101599565	115_наследство-собственность	-0.2149466112925157	0.011971103562653608	136.0	1.6280700845208906	263_влияние-зависимость	0.10798767107975944	0.036339244557945564	376.0	13.66355595378753	84_последовательность-разлад	-0.20066886462243	0.00931585917342348	167.0	1.5557484819617209	274_единство-разрозренность	0.26222645541134665	0.0009432436813791556	156	0.14714601429514826	12_частное-общее	0.13289316880537158	0.022897466157005514	293.0	6.708957584002617	64_человеческое_взаимодействие-механическое_взаимодействие	-0.09885067210545463	0.040946971537381284	428.0	17.525303817999188	69_труд-месть	0.2690618896750757	0.00031763792995836813	175.0	0.05558663774271441	202_отставание-лидерство	0.2751767978340245	0.0025629198115078053	118.0	0.30242453775792105	172_наука-быт	0.16269493049070052	0.02069985188344801	202.0	4.181370080456499	273_жар-холод	-0.19271159714030556	0.005517415411836034	206.0	1.1365875748382228	124_сражение-тыл	0.12069290098224746	0.045141881036544255	276.0	12.459159166086216	120_усталость-покой	0.15461912967341687	0.03134698152176597	194.0	6.0813144152225975	74_тёплые_чувства-холодные_чувства	-0.1870559272690668	0.02921465208004205	136.0	3.973192682885719
1	1						147_рассудительность-беспокойство	-0.15638318830124556	0.03304494651681359	186.0	6.146360052127327	196_неуют-уют	-0.16358426765428755	0.014685209352960232	222.0	3.260116476357172	103_познание-непостижимость	-0.11712959923293308	0.04333857775207885	298.0	12.914896170119492	34_духовное_наслаждение-физическое_наслаждение	-0.18121074248905536	0.034749272163340415	136.0	4.725901014214297	132_правонарушение-соблюдение_закона	0.10661440147809717	0.038796447047234436	376.0	14.587464089760148	86_доказательство-совпадение	0.18727538887269715	0.01537450485339616	167.0	2.567542310517158	294_испытание-безмятежность	0.2618192111693084	0.0009613248175424092	156	0.14996667153661586	74_тёплые_чувства-холодные_чувства	0.12317430685038792	0.03508090612158906	293.0	10.278705493625592						292_экстрим-повседневность	0.21581733655135812	0.004125311720930915	175.0	0.7219295511629101	89_апатия-взбудораженность	-0.2687592370950003	0.003253240153394066	118.0	0.38388233810049976						57_улица-дом	0.18663286988038608	0.007230714011585771	206.0	1.489527086386669											21_получение_результата-разработка	0.17415671589222362	0.042583123943439515	136.0	5.7913048563077725
2	2						259_процесс-итог	-0.14525836807296988	0.047905040611039014	186.0	8.910337553653255	191_техническое_взаимодействие-животные_взаимоотношения	0.16083152439068196	0.016464968711891854	222.0	3.655223054039992																25_скрытность-прозрачность	-0.1785825936553989	0.020940500021116627	167.0	3.497063503526476	179_работа-искусство	-0.2610578288805632	0.0009959844276349553	156	0.155373570711053											263_влияние-зависимость	-0.20336317117163805	0.006950054539964046	175.0	1.216259544493708	169_потеря-приобретение	0.2583333909102787	0.004736104998293743	118.0	0.5588603897986618						169_потеря-приобретение	-0.16004572786989033	0.02156501248539945	206.0	4.442392571992287															
3	3											72_недостаток-достоинство	-0.14087356677373333	0.0359412624856638	222.0	7.978960271817362																123_отдых-работа	-0.17170926691505115	0.026499497180479042	167.0	4.425416029139999	92_жизнь-смерть	-0.2606704354026428	0.0010140556404001054	156	0.15819267990241645											190_погода-животное	0.19374443894698512	0.010198663401382748	175.0	1.7847660952419808	93_учёба-отдых	0.25635185710438235	0.005078160530946958	118.0	0.599222942651741						29_негативные_чувства-духовные_чувства	0.15674434067428525	0.024452708252360837	206.0	5.037257899986332															
4	4											51_творческая_реализация - эмоциональное_переживание	-0.13351971882055375	0.04691416310107818	222.0	10.414944208439355																288_радость-недовольство	0.17123914378530442	0.026922066075591385	167.0	4.495985034623762	292_экстрим-повседневность	-0.2555359058245785	0.0012837006007597835	156	0.20025729371852627											93_учёба-отдых	0.19182434266977733	0.010988208763771663	175.0	1.9229365336600412	223_бытовые_ситуации-глобальные_происшествия	-0.2540315550412628	0.005506579430581134	118.0	0.6497763728085738						92_жизнь-смерть	0.15619724160033527	0.02496204801968622	206.0	5.142181892055361															
5	5											117_живая_природа-неживая_природа	-0.1332291593073881	0.047399707509516664	222.0	10.522735067112697																53_подчинение-неповиновение	0.17079905556848546	0.02732284883305913	167.0	4.562915755120875	2_неживая_природа-живая_природа	-0.25514952980241024	0.0013064324420502278	156	0.20380346095983554											259_процесс-итог	-0.1871529349579803	0.013137835682946445	175.0	2.2991212445156277	82_суматоха-спокойствие	-0.24931815867282364	0.006477212208621503	118.0	0.7643110406173373						248_спор-согласие	-0.15595217498915706	0.02519314173467153	206.0	5.189787197342335															
6	6																															168_работа-праздность	-0.17069716359332074	0.02741636438805416	167.0	4.578532852805044	115_наследство-собственность	0.2546578208059643	0.0013358932059782801	156	0.2083993401326117											221_получение_денег-отсутствие_денег	0.18387584471903645	0.01485797168855642	175.0	2.600145045497373	176_животное-человек	0.2453078618922315	0.007419653216529313	118.0	0.8755190795504589						113_скрытность-прозрачность	0.1513634018406003	0.02987205779927585	206.0	6.153643906650824															
7	7																															163_человек-инструмент	0.16869883432894078	0.029306478826692482	167.0	4.894181964057643	184_правонарушение-соблюдение_закона	0.252670500147738	0.0014612506370184355	156	0.227955099374876											296_равенство-иерархия	-0.18143714431423236	0.016262701351457003	175.0	2.8459727365049754	198_обучение-достижение	-0.24515425940137425	0.007458048479625661	118.0	0.8800497205958281						125_разработка-разрушение	0.14577510923853315	0.036553497815409966	206.0	7.530020549974455															
8	8																															147_рассудительность-беспокойство	-0.16790221239728814	0.03009035027015395	167.0	5.0250884951157095	247_радостное_событие_грустное_событие	-0.2513722215636131	0.0015488457109533245	156	0.2416199309087186											238_дистанция-близость	-0.17785133149349308	0.018537900632542598	175.0	3.2441326106949537	227_иерархия-равенство	-0.23889784477573625	0.009179181395004404	118.0	1.0831434046105195						280_радость-недовольство	-0.1418742536328762	0.04193253828364018	206.0	8.638102886429879															
