	Unnamed: 0	я_PRON	я_PRON.1	я_PRON.2	я_PRON.3	я_PRON.4	свой_DET	свой_DET.1	свой_DET.2	свой_DET.3	свой_DET.4	они_PRON	они_PRON.1	они_PRON.2	они_PRON.3	они_PRON.4	хотеть_VERB	хотеть_VERB.1	хотеть_VERB.2	хотеть_VERB.3	хотеть_VERB.4	человек_NOUN	человек_NOUN.1	человек_NOUN.2	человек_NOUN.3	человек_NOUN.4	очень_ADV	очень_ADV.1	очень_ADV.2	очень_ADV.3	очень_ADV.4	она_PRON	она_PRON.1	она_PRON.2	она_PRON.3	она_PRON.4	думать_VERB	думать_VERB.1	думать_VERB.2	думать_VERB.3	думать_VERB.4	мочь_VERB	мочь_VERB.1	мочь_VERB.2	мочь_VERB.3	мочь_VERB.4	мой_DET	мой_DET.1	мой_DET.2	мой_DET.3	мой_DET.4	жизнь_NOUN	жизнь_NOUN.1	жизнь_NOUN.2	жизнь_NOUN.3	жизнь_NOUN.4	первый_ADJ	первый_ADJ.1	первый_ADJ.2	первый_ADJ.3	первый_ADJ.4	произойти_VERB	произойти_VERB.1	произойти_VERB.2	произойти_VERB.3	произойти_VERB.4	жить_VERB	жить_VERB.1	жить_VERB.2	жить_VERB.3	жить_VERB.4	ничто_PRON	ничто_PRON.1	ничто_PRON.2	ничто_PRON.3	ничто_PRON.4
	Unnamed: 0	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim.1	Pearson C.1	P-value.1	Occ.1	P-Bonferroni.1	Dim.2	Pearson C.2	P-value.2	Occ.2	P-Bonferroni.2	Dim.3	Pearson C.3	P-value.3	Occ.3	P-Bonferroni.3	Dim.4	Pearson C.4	P-value.4	Occ.4	P-Bonferroni.4	Dim.5	Pearson C.5	P-value.5	Occ.5	P-Bonferroni.5	Dim.6	Pearson C.6	P-value.6	Occ.6	P-Bonferroni.6	Dim.7	Pearson C.7	P-value.7	Occ.7	P-Bonferroni.7	Dim.8	Pearson C.8	P-value.8	Occ.8	P-Bonferroni.8	Dim.9	Pearson C.9	P-value.9	Occ.9	P-Bonferroni.9	Dim.10	Pearson C.10	P-value.10	Occ.10	P-Bonferroni.10	Dim.11	Pearson C.11	P-value.11	Occ.11	P-Bonferroni.11	Dim.12	Pearson C.12	P-value.12	Occ.12	P-Bonferroni.12	Dim.13	Pearson C.13	P-value.13	Occ.13	P-Bonferroni.13	Dim.14	Pearson C.14	P-value.14	Occ.14	P-Bonferroni.14
0	0	109_убожество-роскошь	-0.2823292543780205	5.580956956638603e-05	198.0	0.011050294774144436	37_низ-верх	0.30308510666905514	0.007782656103711085	76.0	0.5914818638820425	238_дистанция-близость	0.382561431515036	0.0015239299655025653	66.0	0.10057937772316933	214_спешка-неторопливость	-0.366932632601772	0.00032101828839117217	92.0	0.029533682531987845	293_соблюдение_закона-правонарушение	-0.7426656609434178	8.533291041504358e-11	55.0	4.6933100728273955e-09	91_здоровье-болезнь	0.17326951932793272	0.04867424904415964	130.0	6.327652375740754	52_близость-расстояние	0.3767746028619459	0.007619890883740398	49.0	0.3733746533032796	162_история-одномоментное_происшествие	-0.2572535759797556	0.037047328666562906	66.0	2.445123691993152	232_проблема-решение_проблем	-0.5238165433347474	1.2478621005838442e-05	62.0	0.0007736745023619834	39_целостность-пустота	0.28532888845011284	0.003825480949293703	101	0.38637357587866406	214_спешка-неторопливость	-0.4239883446391017	0.0002061137139126869	72.0	0.014840187401713457	97_активность-пассивность	0.5600033276606871	0.0005732686788106287	34.0	0.01949113507956138	293_соблюдение_закона-правонарушение	0.4673456744333098	0.001805764073323932	42.0	0.07584209107960513	83_речь-текст	0.4368200956667824	0.0030304580682099114	44.0	0.1333401550012361	105_сущность-внешность	-0.3859338613919782	0.01831491477305492	37.0	0.677651846603032
1	1	290_статистика-отсутствие_системы	0.24442198568604234	0.0005198137816540429	198.0	0.10292312876750047						164_устранение-дополнение	0.3473909095562413	0.004264811142388822	66.0	0.28147753539766235	161_холодное_отношение-тёплое_отношение	0.35765705514948143	0.0004649944221916673	92.0	0.04277948684163338	17_полемика-консенсус	0.5946965619341081	1.6872417558052288e-06	55.0	9.279829656928759e-05						239_радость-недовольство	-0.2992245811624483	0.03674206006132008	49.0	1.800360943004684						218_трусость-мужество	0.5233719526791161	1.2730803887607589e-05	62.0	0.0007893098410316704	141_микробиология-неопределенная_тема	-0.2661429637128817	0.007142816946647656	101	0.7214245116114132	222_религия-повседневность	-0.3845965323780393	0.0008512098859152372	72.0	0.061287111785897075	32_разруха-реализация	-0.5413804524809903	0.0009450016198255569	34.0	0.032130055074068936	106_кончина-вечное_искусство	-0.4272620094029489	0.004770882345773815	42.0	0.2003770585225002	74_тёплые_чувства-холодные_чувства	0.4054589079262627	0.006324821610104595	44.0	0.2782921508446022	102_фантастика-реальность	-0.3268017676533624	0.04835769972886627	37.0	1.7892348899680517
2	2	151_забытье-сознание	0.2285178557685779	0.0012031732535668488	198.0	0.2382283042062361						201_вирус-растение	0.3115740424766432	0.010877472406362509	66.0	0.7179131788199257	21_получение_результата-разработка	0.3525554366689572	0.0005674205133298012	92.0	0.0522026872263417	42_деструктивная_коммуникация-конструктивная_коммуникация	0.5798492440334242	3.4959153641824387e-06	55.0	0.00019227534503003414																35_кончина-вечное_искусство	0.5123264245718219	2.0742681417200574e-05	62.0	0.0012860462478664356	57_улица-дом	-0.2654812615981332	0.007292746438187259	101	0.7365673902569133	27_труд-фортуна	0.3082552387098449	0.008430121128166856	72.0	0.6069687212280136	75_действующее_лицо-зритель	-0.4961548140778432	0.0028424132202472573	34.0	0.09664204948840677	267_неволя-свобода	0.3856683480053867	0.011655189442961351	42.0	0.4895179566043768	44_упорядоченность-однородная_масса	0.3985859310240921	0.007365172543046482	44.0	0.3240675918940452	257_тёплые_чувства-холодные_чувства	0.3256496416721797	0.049201133086766866	37.0	1.8204419242103744
3	3	87_народ-власть	0.20582049037430505	0.0036255815460638093	198.0	0.7178651461206343						190_погода-животное	-0.3097942682809264	0.011364020159718085	66.0	0.7500253305413936	42_деструктивная_коммуникация-конструктивная_коммуникация	-0.34975165254768154	0.000632136291968629	92.0	0.058156538861113875	300_беспокойство-спокойствие	-0.5539954338323183	1.145027032687849e-05	55.0	0.0006297648679783169																124_сражение-тыл	0.5069133935226192	2.6188131665595826e-05	62.0	0.0016236641632669411	20_покой-беспокойство	-0.2624617516162182	0.008012775989804235	101	0.8092903749702277	228_народ-власть	0.2972925164563542	0.011210018591183616	72.0	0.8071213385652204	214_спешка-неторопливость	-0.4955430254414924	0.002882173807128275	34.0	0.09799390944236136	151_забытье-сознание	-0.3828044346468417	0.012345607054286223	42.0	0.5185154962800214	143_неважность-значимость	-0.3665679660925473	0.0143891919218195	44.0	0.633124444560058					
4	4	232_проблема-решение_проблем	-0.20449244520205365	0.0038543035104072	198.0	0.7631520950606255						46_идея-реализация	-0.2941548295414271	0.016513394113340983	66.0	1.0898840114805048	11_приобретение-постоянное_местонахождение	-0.3293106754466117	0.0013489597744919726	92.0	0.1241042992532615	47_журналистика-литература	0.538631577352091	2.214149906883597e-05	55.0	0.0012177824487859786																23_мир-конфликт	-0.4965561137374879	4.046694688305315e-05	62.0	0.0025089507067492947	259_процесс-итог	0.26104541566491785	0.00837159939480271	101	0.8455315388750737	119_окончание-процесс	-0.2924300304928679	0.012678573929132964	72.0	0.9128573228975734	215_творчество-власть	-0.4934430166627649	0.003022353480212133	34.0	0.10276001832721253	115_наследство-собственность	-0.3218930464809488	0.03763222178734498	42.0	1.5805533150684892	57_улица-дом	-0.362614381486615	0.015561791908316669	44.0	0.6847188439659333					
5	5	142_равенство-иерархия	-0.19875894301567265	0.004998341379126908	198.0	0.9896715930671276						247_радостное_событие_грустное_событие	-0.287755516177208	0.019136560316753003	66.0	1.263012980905698	89_апатия-взбудораженность	-0.3040641646539661	0.003211716623350444	92.0	0.29547792934824085	60_восстание-смирение	0.5082870652650723	7.438435843176952e-05	55.0	0.004091139713747324																36_спокойствие-деятельность	-0.4858798680594565	6.246497804680841e-05	62.0	0.003872828638902121	202_отставание-лидерство	0.2604234744269197	0.008533587455303231	101	0.8618923329856264	13_личные_отношения-иерархические_отношения	0.2883857768955812	0.014024139097092462	72.0	1.0097380149906572	207_фантастика-реальность	0.4651866102973845	0.00556857802910375	34.0	0.1893316529895275						191_техническое_взаимодействие-животные_взаимоотношения	-0.35871193062619705	0.01679769321694781	44.0	0.7390985015457037					
6	6	222_религия-повседневность	0.196101550343328	0.0056253119411962	198.0	1.1138117643568477						11_приобретение-постоянное_местонахождение	0.26588090120938923	0.030946663785148213	66.0	2.042479809819782	126_путешествие-конец_движения	0.2942894564948166	0.004406746739317702	92.0	0.4054207000172286	35_кончина-вечное_искусство	-0.4375236477007156	0.0008367872256413773	55.0	0.04602329741027576																131_процесс-завершение	-0.4765911340788726	9.008778252356296e-05	62.0	0.005585442516460903	195_болезнь-работа	-0.2589648217227568	0.008924371346972515	101	0.901361506044224	230_отступление-наступление	0.2763969806951682	0.018761099446450002	72.0	1.3507991601443998	61_единство-разрозренность	-0.4594554132368763	0.0062652121158829205	34.0	0.21301721194001927						97_активность-пассивность	-0.3549419351827069	0.01806949775938373	44.0	0.7950579014128842					
7	7	247_радостное_событие_грустное_событие	-0.19417943625369505	0.006121754640294765	198.0	1.2121074187783636						141_микробиология-неопределенная_тема	-0.2651584301292751	0.031422960450518976	66.0	2.0739153897342524	261_болезнь-здоровье	0.2857184877805577	0.005765158947163041	92.0	0.5303946231389998	216_старость-смерть	0.41408605187883657	0.0016734716936123695	55.0	0.09204094314868032																151_забытье-сознание	-0.45298354530978	0.00021822268007085958	62.0	0.013529806164393293	289_недовольство-радость	0.2574494880001305	0.009346924738814509	101	0.9440393986202656	252_современность-древность	0.2737231059571209	0.019986934259962657	72.0	1.4390592667173112	99_благоразумие-безолаберность	-0.4440786755390856	0.008513819098724663	34.0	0.2894698493566385						101_фиксация-пересмотр	-0.3473180849289186	0.02089086227877657	44.0	0.9191979402661692					
8	8	79_многообразие-единство	0.1849037357812505	0.009110514085586108	198.0	1.8038817889460492						171_работа-отдых	-0.25947052189841224	0.03539143487924847	66.0	2.3358347020304	184_правонарушение-соблюдение_закона	0.28285102860015443	0.006296184992056272	92.0	0.579249019269177	84_последовательность-разлад	-0.3801547141071967	0.004198055828077718	55.0	0.2308930705442745																92_жизнь-смерть	0.4507737793820136	0.0002362961894599876	62.0	0.014650363746519231	3_спокойствие-суматоха	0.2555278531229632	0.00990798621520272	101	1.0007066077354747	257_тёплые_чувства-холодные_чувства	-0.2617640991263038	0.026340617076431882	72.0	1.8965244295030952	197_проблема-решение_проблем	-0.4319554133866403	0.01074023888451155	34.0	0.3651681220733927						157_отсутствие_чувств-чувства	0.3423784272759255	0.022909522298916008	44.0	1.0080189811523046					
