	Unnamed: 0	они_PRON	они_PRON.1	они_PRON.2	они_PRON.3	они_PRON.4	он_PRON	он_PRON.1	он_PRON.2	он_PRON.3	он_PRON.4	очень_ADV	очень_ADV.1	очень_ADV.2	очень_ADV.3	очень_ADV.4	мы_PRON	мы_PRON.1	мы_PRON.2	мы_PRON.3	мы_PRON.4	жизнь_NOUN	жизнь_NOUN.1	жизнь_NOUN.2	жизнь_NOUN.3	жизнь_NOUN.4	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	год_NOUN	год_NOUN.1	год_NOUN.2	год_NOUN.3	год_NOUN.4	хороший_ADJ	хороший_ADJ.1	хороший_ADJ.2	хороший_ADJ.3	хороший_ADJ.4	произойти_VERB	произойти_VERB.1	произойти_VERB.2	произойти_VERB.3	произойти_VERB.4	день_NOUN	день_NOUN.1	день_NOUN.2	день_NOUN.3	день_NOUN.4	видеть_VERB	видеть_VERB.1	видеть_VERB.2	видеть_VERB.3	видеть_VERB.4	жить_VERB	жить_VERB.1	жить_VERB.2	жить_VERB.3	жить_VERB.4	ничто_PRON	ничто_PRON.1	ничто_PRON.2	ничто_PRON.3	ничто_PRON.4
	Unnamed: 0	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim.1	Pearson C.1	P-value.1	Occ.1	P-Bonferroni.1	Dim.2	Pearson C.2	P-value.2	Occ.2	P-Bonferroni.2	Dim.3	Pearson C.3	P-value.3	Occ.3	P-Bonferroni.3	Dim.4	Pearson C.4	P-value.4	Occ.4	P-Bonferroni.4	Dim.5	Pearson C.5	P-value.5	Occ.5	P-Bonferroni.5	Dim.6	Pearson C.6	P-value.6	Occ.6	P-Bonferroni.6	Dim.7	Pearson C.7	P-value.7	Occ.7	P-Bonferroni.7	Dim.8	Pearson C.8	P-value.8	Occ.8	P-Bonferroni.8	Dim.9	Pearson C.9	P-value.9	Occ.9	P-Bonferroni.9	Dim.10	Pearson C.10	P-value.10	Occ.10	P-Bonferroni.10	Dim.11	Pearson C.11	P-value.11	Occ.11	P-Bonferroni.11	Dim.12	Pearson C.12	P-value.12	Occ.12	P-Bonferroni.12
0	0	55_армия-гражданская_жизнь	-0.18432018912426174	0.0117868545497587	186.0	2.192354946255118	21_получение_результата-разработка	0.25249021539335736	0.00014319868756470106	222.0	0.031790108639363636	291_работа-санкция	-0.14203313326973865	0.005798654276649158	376	2.180294008020083	252_современность-древность	0.1129647636154108	0.01940355327702914	428.0	8.304720802568472	6_холодное_отношение-тёплое_отношение	-0.2207406119624424	0.003330156664532865	175.0	0.5827774162932514	115_наследство-собственность	0.2512713341320469	0.006057938582859118	118.0	0.7148367527773759	278_физический_труд-умственный_труд	0.1616268833945033	0.020289682750457786	206.0	4.179674646594303	159_реальная_жизнь-выдуманная_жизнь	0.15042171252030748	0.008617925221274166	304.0	2.6198492672673463	34_духовное_наслаждение-физическое_наслаждение	-0.2405378206269989	0.012571781723196613	107.0	1.3451806443820375	268_отдых-работа	0.2071044361165336	0.003761852599761104	194.0	0.7297994043536541	214_спешка-неторопливость	-0.2033834306896601	0.017557405240610568	136.0	2.387807112723037	58_формирование-перестройка	-0.2145472094868336	0.013862901197817978	131.0	1.8160400569141548	114_церковь-мирская_жизнь	0.27898519351730705	0.005168137021212803	99.0	0.5116455651000675
1	1	86_доказательство-совпадение	-0.1834951241163827	0.012176310580979982	186.0	2.2647937680622765	226_человек-транспорт	-0.22488807719743495	0.0007376767153009273	222.0	0.16376423079680585	279_соблюдение_закона-правонарушение	-0.14199079527580105	0.005813413606847503	376	2.185843516174661	257_тёплые_чувства-холодные_чувства	-0.10692308462544672	0.0269723806633727	428.0	11.544178923923516	226_человек-транспорт	0.1965769424577872	0.009125325612235469	175.0	1.596931982141207	55_армия-гражданская_жизнь	-0.2093639193399739	0.02288538812394501	118.0	2.7004757986255106	93_учёба-отдых	-0.15069780795535462	0.030608786867429183	206.0	6.305410094690411	6_холодное_отношение-тёплое_отношение	-0.14856996979477732	0.009482598842480794	304.0	2.882710048114161	236_умственный_труд-физический_труд	0.23486938276016944	0.014886090670611604	107.0	1.5928117017554415	188_страх-надёжность	0.18116364003029706	0.011472614123760437	194.0	2.2256871400095246	97_активность-пассивность	0.19646855601559968	0.021880315522719514	136.0	2.9757229110898535	139_свобода-неволя	-0.20309269354690435	0.01999056834887379	131.0	2.618764453702467	3_спокойствие-суматоха	-0.22279179686549264	0.02665487538592338	99.0	2.638832663206415
2	2	241_нападение-оборона	-0.15969998009984696	0.029456075864789218	186.0	5.4788301108507955	248_спор-согласие	0.2126196695956905	0.0014395949461682913	222.0	0.3195900780493607	97_активность-пассивность	0.14115289430902994	0.006112536445355164	376	2.298313703453542	202_отставание-лидерство	-0.10223885178621483	0.03447329094593448	428.0	14.754568524859955	118_покой-беспокойство	-0.189673481509972	0.01193613780805143	175.0	2.088824116409001	276_начало-конец	0.20157809035225646	0.028603376067183287	118.0	3.3751983759276283	221_получение_денег-отсутствие_денег	0.14151814362023138	0.04245512608493214	206.0	8.74575597349602	12_частное-общее	0.14301404389820238	0.012556495509455794	304.0	3.8171746348745614	147_рассудительность-беспокойство	-0.2238476559366621	0.020460430961823043	107.0	2.1892661129150657	32_разруха-реализация	0.174890551952165	0.014726784677132853	194.0	2.8569962273637737	127_начало-конец	-0.19638041366692965	0.021940857709530644	136.0	2.9839566484961675	11_приобретение-постоянное_местонахождение	-0.20102340790393816	0.02131704909919236	131.0	2.7925334319941992					
3	3	108_творчество-власть	0.15735712827346754	0.03195451431933923	186.0	5.943539663397098	264_безопасность-опасность	-0.2124459183166952	0.00145291536181485	222.0	0.3225472103228967	266_мир-война	-0.14101698611078028	0.0061623348698451475	376	2.317037911061776	11_приобретение-постоянное_местонахождение	0.09986689210749326	0.038905457560005206	428.0	16.65153583568223	75_действующее_лицо-зритель	-0.1779277166811498	0.01848669530313456	175.0	3.2351716780485478	237_низшие_слои-высшие_слои	-0.19121661857140188	0.03805956342236971	118.0	4.491028483839625						68_власть-народ	0.14059197289263953	0.014151135732775703	304.0	4.301945262763814	90_отдых-напряжение	-0.2219053251028064	0.021609369211412828	107.0	2.312202505621173	245_любовь-ненависть	-0.16449572078734373	0.02190626310069597	194.0	4.249815041535019	241_нападение-оборона	-0.19622192244680603	0.022050082874080373	136.0	2.9988112708749313	214_спешка-неторопливость	-0.2004262626953	0.02171365111753293	131.0	2.844488296396814					
4	4	122_неопределенная_тема-здоровье	-0.15659674564874393	0.03280317949041975	186.0	6.101391385218072	140_шум-тишина	0.2116886639532604	0.001512296734707052	222.0	0.33572987510496555	110_негативные_эмоции-положительные_эмоции	-0.13977154304547484	0.006635903805985421	376	2.4950998310505184	223_бытовые_ситуации-глобальные_происшествия	0.09776955326740358	0.04321743288982234	428.0	18.49706127684396	198_обучение-достижение	0.17721440340544936	0.018969680789388158	175.0	3.3196941381429275	177_изыскание-решение	-0.18935669635558566	0.04000839676763722	118.0	4.720990818581192						287_вода-земля	0.14050838794815312	0.014209205570873122	304.0	4.3195984935454295	106_кончина-вечное_искусство	-0.22075367742307014	0.022316401972862696	107.0	2.3878550110963084	7_чужбина-родной_дом	0.1542219333479462	0.03178986267350669	194.0	6.167233358660297	75_действующее_лицо-зритель	-0.19151254500007528	0.025515871822672197	136.0	3.470158567883418	33_абстрактная_работа-конкретная_работа	-0.1982522619704609	0.02321161797963424	131.0	3.040721955332085					
5	5	199_уют-неуют	-0.14961085786477862	0.04153486420350182	186.0	7.725484741851338	87_народ-власть	0.21123163377846574	0.0015492015928170381	222.0	0.3439227536053825	196_неуют-уют	0.1390010973574044	0.006944928465747076	376	2.611293103120901						177_изыскание-решение	0.17449785650332075	0.020910560284698808	175.0	3.6593480498222917											57_улица-дом	-0.13447517694727756	0.01899344595322154	304.0	5.774007569779347	23_мир-конфликт	0.2190770988170237	0.023381097731257447	107.0	2.501777457244547	36_спокойствие-деятельность	-0.1425734762361343	0.04735312711761113	194.0	9.18650666081656	31_интеллект-культура	-0.18786991912647252	0.02850689761654785	136.0	3.876938075850508	263_влияние-зависимость	-0.19555842533085754	0.0251900451575992	131.0	3.2998959156454952					
6	6	268_отдых-работа	-0.14854466449274698	0.04302553738049343	186.0	8.002749952771778	182_светское_общество-религия	0.2063216602584616	0.002000993084886139	222.0	0.4442204648447227	261_болезнь-здоровье	-0.13696093016852906	0.007826325337386864	376	2.9426983268574607						234_холодное_отношение-тёплое_отношение	0.16919296156452293	0.025199227454101452	175.0	4.4098648044677535											286_начало-конец	-0.13326560509299792	0.020105681017594038	304.0	6.112127029348588	152_исчезнование-появление	-0.21349466872021372	0.02724496138336948	107.0	2.9152108680205338	142_равенство-иерархия	0.14123876434049595	0.049486786563268985	194.0	9.600436593274184	102_фантастика-реальность	-0.1842689575373498	0.0317521710307174	136.0	4.318295260177567	140_шум-тишина	-0.1952573247595233	0.025419893156352468	131.0	3.330006003482173					
7	7	6_холодное_отношение-тёплое_отношение	-0.14794159025487674	0.04388839276557007	186.0	8.163241054396034	259_процесс-итог	-0.20232816587429805	0.0024537038655860466	222.0	0.5447222581601023	63_мир-война	-0.13661106389111366	0.007987119567297495	376	3.003156957303857						23_мир-конфликт	0.16771006543156455	0.0265253270680741	175.0	4.641932236912967											45_наука-быт	-0.13153289726544354	0.02179730844650717	304.0	6.626381767738178	206_расслабление-напряжение	-0.20990142670553594	0.03000911626592365	107.0	3.210975440453831						144_физический_труд-искусство	0.18158852368396425	0.034366568731983384	136.0	4.67385334754974	157_отсутствие_чувств-чувства	-0.19436868844138264	0.026108727384360656	131.0	3.420243287351246					
8	8						195_болезнь-работа	0.2007918377011117	0.002651348697130895	222.0	0.5885994107630588	174_праздник-быт	-0.13640220796947872	0.008084505556261395	376	3.0397740891542844						191_техническое_взаимодействие-животные_взаимоотношения	-0.16378776118559593	0.030324293205654624	175.0	5.30675131098956											18_уменьшение-расширение	-0.12678539010804665	0.027077464513475563	304.0	8.23154921209657	266_мир-война	-0.20888498779694914	0.03083284593018287	107.0	3.299114514529567						208_неживая_природа-живая_природа	0.17916025290738435	0.03688980611428154	136.0	5.017013631542289	47_журналистика-литература	-0.19308471253468004	0.027132142205383576	131.0	3.5543106289052484					
