	Unnamed: 0	я_PRON	я_PRON.1	я_PRON.2	я_PRON.3	я_PRON.4	они_PRON	они_PRON.1	они_PRON.2	они_PRON.3	они_PRON.4	он_PRON	он_PRON.1	он_PRON.2	он_PRON.3	он_PRON.4	хотеть_VERB	хотеть_VERB.1	хотеть_VERB.2	хотеть_VERB.3	хотеть_VERB.4	очень_ADV	очень_ADV.1	очень_ADV.2	очень_ADV.3	очень_ADV.4	она_PRON	она_PRON.1	она_PRON.2	она_PRON.3	она_PRON.4	думать_VERB	думать_VERB.1	думать_VERB.2	думать_VERB.3	думать_VERB.4	мочь_VERB	мочь_VERB.1	мочь_VERB.2	мочь_VERB.3	мочь_VERB.4	мы_PRON	мы_PRON.1	мы_PRON.2	мы_PRON.3	мы_PRON.4	жизнь_NOUN	жизнь_NOUN.1	жизнь_NOUN.2	жизнь_NOUN.3	жизнь_NOUN.4	знать_VERB	знать_VERB.1	знать_VERB.2	знать_VERB.3	знать_VERB.4	произойти_VERB	произойти_VERB.1	произойти_VERB.2	произойти_VERB.3	произойти_VERB.4	день_NOUN	день_NOUN.1	день_NOUN.2	день_NOUN.3	день_NOUN.4	жить_VERB	жить_VERB.1	жить_VERB.2	жить_VERB.3	жить_VERB.4	ничто_PRON	ничто_PRON.1	ничто_PRON.2	ничто_PRON.3	ничто_PRON.4
	Unnamed: 0	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim.1	Pearson C.1	P-value.1	Occ.1	P-Bonferroni.1	Dim.2	Pearson C.2	P-value.2	Occ.2	P-Bonferroni.2	Dim.3	Pearson C.3	P-value.3	Occ.3	P-Bonferroni.3	Dim.4	Pearson C.4	P-value.4	Occ.4	P-Bonferroni.4	Dim.5	Pearson C.5	P-value.5	Occ.5	P-Bonferroni.5	Dim.6	Pearson C.6	P-value.6	Occ.6	P-Bonferroni.6	Dim.7	Pearson C.7	P-value.7	Occ.7	P-Bonferroni.7	Dim.8	Pearson C.8	P-value.8	Occ.8	P-Bonferroni.8	Dim.9	Pearson C.9	P-value.9	Occ.9	P-Bonferroni.9	Dim.10	Pearson C.10	P-value.10	Occ.10	P-Bonferroni.10	Dim.11	Pearson C.11	P-value.11	Occ.11	P-Bonferroni.11	Dim.12	Pearson C.12	P-value.12	Occ.12	P-Bonferroni.12	Dim.13	Pearson C.13	P-value.13	Occ.13	P-Bonferroni.13	Dim.14	Pearson C.14	P-value.14	Occ.14	P-Bonferroni.14
0	0	268_отдых-работа	-0.3238531706858111	0.01314064592922108	58.0	0.7621574638948226	64_человеческое_взаимодействие-механическое_взаимодействие	0.5413105264003383	0.0029328330994793893	28.0	0.0821193267854229	46_идея-реализация	-0.9573413132707216	0.0007054638290128323	7.0	0.004938246803089825	9_трудности-отсутствие_проблем	-0.9832954814564168	0.002585196752919907	5.0	0.012925983764599537	157_отсутствие_чувств-чувства	-0.6740815314917008	0.0162228629244983	12.0	0.19467435509397954	222_религия-повседневность	0.8831581234032859	0.019680472130812417	6.0	0.11808283278487453	33_абстрактная_работа-конкретная_работа	-0.9115381472257807	0.011392120006633664	6.0	0.06835272003980197	276_начало-конец	-0.6878524614920833	0.02791043817475393	10.0	0.2791043817475393	260_быт-искусство	0.9947534316318204	0.005246568368179494	4.0	0.020986273472717976	105_сущность-внешность	0.7771721998957588	0.0006511866053242713	15	0.009767799079864069	110_негативные_эмоции-положительные_эмоции	0.9959216024197478	0.004078397580251969	4.0	0.016313590321007876	59_увядание-расцвет	-0.9964186323551808	0.003581367644819311	4.0	0.014325470579277244	28_неисправность-отлаженность	0.5775844495523057	0.01912740291910758	16.0	0.3060384467057213	82_суматоха-спокойствие	-0.8951940157147419	0.00046433209351117414	10.0	0.004643320935111742	264_безопасность-опасность	-0.9386566776225328	0.01806956844600526	5.0	0.09034784223002633
1	1	250_быт-война	0.30954057332459434	0.01805604139946004	58.0	1.0472504011686825	140_шум-тишина	-0.4801448499820453	0.009712939035175821	28.0	0.2719622929849229	176_животное-человек	0.9482772865005384	0.001136360141792115	7.0	0.007954520992544805	108_творчество-власть	0.9518770059038886	0.012580642438812923	5.0	0.06290321219406463	266_мир-война	-0.6629431366906227	0.018788736798593383	12.0	0.2254648415831205	176_животное-человек	-0.8795605008030384	0.02088498145640333	6.0	0.12530988873842						67_неизменность-изменение	0.6605998688295474	0.03759080242149578	10.0	0.3759080242149577	116_смерть-жизнь	0.9925877869943094	0.007412213005690614	4.0	0.029648852022762462	204_столкновение-мир	-0.7470745505828671	0.0013708726662605398	15	0.020563089993908098	16_воля-неволя	-0.9936730006324552	0.006326999367544772	4.0	0.025307997470179092	149_нищета-состояние	0.9943353504531004	0.005664649546899493	4.0	0.02265859818759797	266_мир-война	-0.5639811369684928	0.022876165476340683	16.0	0.3660186476214509	227_иерархия-равенство	-0.7564987543206786	0.01132673239288992	10.0	0.11326732392889917	2_неживая_природа-живая_природа	0.931612353658364	0.021246843603613924	5.0	0.10623421801806962
2	2	219_соблюдение_закона-правонарушение	-0.3062241113204301	0.01939582766616281	58.0	1.1249580046374428	231_злость-радость	0.4434415363779387	0.01810082970902632	28.0	0.5068232318527369	82_суматоха-спокойствие	0.8693041041191522	0.01104087244428347	7.0	0.07728610710998429	136_апатия-взбудораженность	0.9450366539076986	0.015340174876602029	5.0	0.07670087438301014	175_нематериальное-материальное	-0.6314662190351099	0.02763976744517289	12.0	0.3316772093420747	114_церковь-мирская_жизнь	0.8789654852970069	0.02108749191319869	6.0	0.12652495147919213											125_разработка-разрушение	-0.9925456379311958	0.007454362068804231	4.0	0.029817448275216932	51_творческая_реализация - эмоциональное_переживание	-0.7153777801234216	0.002714114566468225	15	0.040711718497023375	52_близость-расстояние	0.9924322444457248	0.007567755554275245	4.0	0.03027102221710098	43_энергия-покой	0.988842011074802	0.011157988925197926	4.0	0.0446319557007917	78_популярность-безвестность	0.5624415528837078	0.02333367045501865	16.0	0.3733387272802984	268_отдых-работа	0.7313035550372206	0.01624332598990401	10.0	0.1624332598990401	224_власть-отставка	-0.929298040820156	0.022326508568557956	5.0	0.11163254284278976
3	3	43_энергия-покой	0.3011236410199959	0.0216208280319122	58.0	1.2540080258509076	67_неизменность-изменение	-0.4341453628882735	0.020979603741748617	28.0	0.5874289047689613	67_неизменность-изменение	-0.8583732455902138	0.013413588994370193	7.0	0.09389512296059137	82_суматоха-спокойствие	0.9341889479152752	0.02006540017541404	5.0	0.1003270008770702	152_исчезнование-появление	0.5877564498972072	0.04445378131580493	12.0	0.5334453757896591	62_жизнь-смерть	0.8305558975004724	0.040634475249725466	6.0	0.2438068514983528											71_изобилие-недостаток	-0.9836219033981436	0.01637809660185641	4.0	0.06551238640742563	147_рассудительность-беспокойство	0.7115731691844638	0.0029287223974564947	15	0.043930835961847416	300_беспокойство-спокойствие	-0.9905324497519584	0.009467550248041691	4.0	0.037870200992166765	112_профессиональный-любительский	-0.9736119435485512	0.026388056451448705	4.0	0.10555222580579482	7_чужбина-родной_дом	-0.5623323467582652	0.02336638761466164	16.0	0.3738622018345862	34_духовное_наслаждение-физическое_наслаждение	0.7247267250173014	0.017737071375287218	10.0	0.17737071375287214	157_отсутствие_чувств-чувства	-0.9286143947187828	0.022648738020154213	5.0	0.11324369010077108
4	4	283_героизм-малодушие	0.2785160333519134	0.034257530384291135	58.0	1.9869367622888865	15_древняя_работа-современная_работа	-0.4329320298160512	0.021381571416277743	28.0	0.5986839996557768	180_потребление-вывод	0.8313339975213941	0.020446029291252516	7.0	0.1431222050387676	187_гармония-конфликт	-0.9303134089825922	0.02185069120583468	5.0	0.1092534560291734	217_завоевание-бегство	0.5851983348240852	0.04561993648364023	12.0	0.5474392378036828																217_завоевание-бегство	-0.9826383236223779	0.017361676377621982	4.0	0.06944670551048793	266_мир-война	0.6702366990227251	0.006253290160807304	15	0.09379935241210956	164_устранение-дополнение	0.98576049842576	0.01423950157424003	4.0	0.05695800629696012	182_светское_общество-религия	-0.9720149770205578	0.02798502297944216	4.0	0.11194009191776866	198_обучение-достижение	-0.5542047480783555	0.025902070289440342	16.0	0.4144331246310456	149_нищета-состояние	-0.7245690032163085	0.01777402069631026	10.0	0.17774020696310264	10_рутина-отдых	-0.9220960610314102	0.025794780640192787	5.0	0.12897390320096394
5	5	197_проблема-решение_проблем	-0.2748069648803816	0.036826013173254235	58.0	2.1359087640487457	80_сон-бодрствование	-0.431356155196988	0.02191303958454883	28.0	0.6135651083673673	57_улица-дом	-0.7977230844068718	0.03159071138511993	7.0	0.2211349796958395	85_направление-дезориентация	0.927308273921522	0.02326849846253948	5.0	0.1163424923126974																					199_уют-неуют	0.9794643509353044	0.02053564906469552	4.0	0.08214259625878206	186_движение-неподвижность	0.668147854212143	0.006478162077416918	15	0.09717243116125376	223_бытовые_ситуации-глобальные_происшествия	-0.9853802742259185	0.014619725774081547	4.0	0.0584789030963262	292_экстрим-повседневность	0.9684870125448516	0.0315129874551483	4.0	0.1260519498205932	182_светское_общество-религия	-0.5242074650137034	0.03712253577158787	16.0	0.5939605723454059	131_процесс-завершение	0.6960249720293669	0.02537877455129386	10.0	0.2537877455129386	215_творчество-власть	0.9175726757992004	0.02805413343602489	5.0	0.1402706671801245
6	6	238_дистанция-близость	-0.2589447649650829	0.0496747757755028	58.0	2.8811369949791623	187_гармония-конфликт	0.4310893087644521	0.02200409523163353	28.0	0.6161146664857388	251_недостаток-достоинство	-0.7973526135458988	0.031728792969190574	7.0	0.222101550784334	104_неподвижность-подвижность	-0.9013589952832708	0.036634275705664514	5.0	0.18317137852832252																					69_труд-месть	-0.9737703256248188	0.02622967437518109	4.0	0.10491869750072436	108_творчество-власть	-0.6630424254411199	0.0070546481573317485	15	0.10581972235997623	162_история-одномоментное_происшествие	0.9852397351761142	0.014760264823885816	4.0	0.05904105929554326	161_холодное_отношение-тёплое_отношение	-0.951992606155428	0.04800739384457186	4.0	0.19202957537828744	160_победа-поражение	-0.5142147506519128	0.041573499244081914	16.0	0.6651759879053105	127_начало-конец	0.6601040592458625	0.03778531642892144	10.0	0.3778531642892144	268_отдых-работа	0.9172267596927304	0.028229411638814917	5.0	0.1411470581940746
7	7						116_смерть-жизнь	0.42787219606014015	0.023126432531183485	28.0	0.6475401108731376	222_религия-повседневность	-0.7859961119874221	0.0361253109998316	7.0	0.2528771769988212	34_духовное_наслаждение-физическое_наслаждение	-0.8888674769870675	0.04372403935395113	5.0	0.21862019676975566																					182_светское_общество-религия	0.9733441360412568	0.0266558639587432	4.0	0.1066234558349728	236_умственный_труд-физический_труд	0.6450303950601288	0.009417528105242712	15	0.14126292157864068	218_трусость-мужество	-0.9834368605304491	0.016563139469551014	4.0	0.06625255787820405						43_энергия-покой	0.5133865452641637	0.04195959259770597	16.0	0.6713534815632954	6_холодное_отношение-тёплое_отношение	0.6572711342310555	0.03890975652544207	10.0	0.3890975652544207	45_наука-быт	-0.9125327056382916	0.030642262259309994	5.0	0.15321131129654994
8	8						20_покой-беспокойство	-0.426596857974889	0.023584096422375217	28.0	0.6603546998265061	214_спешка-неторопливость	0.7700103794558407	0.04285537066592488	7.0	0.2999875946614741	134_физическое-абстрактное	0.8813728350920775	0.0481645280109758	5.0	0.24082264005487905																					227_иерархия-равенство	0.972314319555758	0.027685680444241908	4.0	0.11074272177696763	261_болезнь-здоровье	0.6437590972497188	0.009605103874351224	15	0.14407655811526834	275_жизненный_процесс-кончина	-0.9819715166775654	0.018028483322434563	4.0	0.07211393328973825						261_болезнь-здоровье	-0.5087314095095004	0.04417999262308624	16.0	0.7068798819693798	71_изобилие-недостаток	0.6556950204579608	0.03954500262615935	10.0	0.3954500262615935	100_труд-отдых	0.9028901797985917	0.03579308840918924	5.0	0.1789654420459462
