	Unnamed: 0	свой_DET	свой_DET.1	свой_DET.2	свой_DET.3	свой_DET.4	они_PRON	они_PRON.1	они_PRON.2	они_PRON.3	они_PRON.4	он_PRON	он_PRON.1	он_PRON.2	он_PRON.3	он_PRON.4	хотеть_VERB	хотеть_VERB.1	хотеть_VERB.2	хотеть_VERB.3	хотеть_VERB.4	время_NOUN	время_NOUN.1	время_NOUN.2	время_NOUN.3	время_NOUN.4	человек_NOUN	человек_NOUN.1	человек_NOUN.2	человек_NOUN.3	человек_NOUN.4	очень_ADV	очень_ADV.1	очень_ADV.2	очень_ADV.3	очень_ADV.4	она_PRON	она_PRON.1	она_PRON.2	она_PRON.3	она_PRON.4	думать_VERB	думать_VERB.1	думать_VERB.2	думать_VERB.3	думать_VERB.4	мочь_VERB	мочь_VERB.1	мочь_VERB.2	мочь_VERB.3	мочь_VERB.4	мы_PRON	мы_PRON.1	мы_PRON.2	мы_PRON.3	мы_PRON.4	жизнь_NOUN	жизнь_NOUN.1	жизнь_NOUN.2	жизнь_NOUN.3	жизнь_NOUN.4	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	год_NOUN	год_NOUN.1	год_NOUN.2	год_NOUN.3	год_NOUN.4	хороший_ADJ	хороший_ADJ.1	хороший_ADJ.2	хороший_ADJ.3	хороший_ADJ.4	произойти_VERB	произойти_VERB.1	произойти_VERB.2	произойти_VERB.3	произойти_VERB.4	ждать_VERB	ждать_VERB.1	ждать_VERB.2	ждать_VERB.3	ждать_VERB.4	день_NOUN	день_NOUN.1	день_NOUN.2	день_NOUN.3	день_NOUN.4	видеть_VERB	видеть_VERB.1	видеть_VERB.2	видеть_VERB.3	видеть_VERB.4	ничто_PRON	ничто_PRON.1	ничто_PRON.2	ничто_PRON.3	ничто_PRON.4
	Unnamed: 0	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim.1	Pearson C.1	P-value.1	Occ.1	P-Bonferroni.1	Dim.2	Pearson C.2	P-value.2	Occ.2	P-Bonferroni.2	Dim.3	Pearson C.3	P-value.3	Occ.3	P-Bonferroni.3	Dim.4	Pearson C.4	P-value.4	Occ.4	P-Bonferroni.4	Dim.5	Pearson C.5	P-value.5	Occ.5	P-Bonferroni.5	Dim.6	Pearson C.6	P-value.6	Occ.6	P-Bonferroni.6	Dim.7	Pearson C.7	P-value.7	Occ.7	P-Bonferroni.7	Dim.8	Pearson C.8	P-value.8	Occ.8	P-Bonferroni.8	Dim.9	Pearson C.9	P-value.9	Occ.9	P-Bonferroni.9	Dim.10	Pearson C.10	P-value.10	Occ.10	P-Bonferroni.10	Dim.11	Pearson C.11	P-value.11	Occ.11	P-Bonferroni.11	Dim.12	Pearson C.12	P-value.12	Occ.12	P-Bonferroni.12	Dim.13	Pearson C.13	P-value.13	Occ.13	P-Bonferroni.13	Dim.14	Pearson C.14	P-value.14	Occ.14	P-Bonferroni.14	Dim.15	Pearson C.15	P-value.15	Occ.15	P-Bonferroni.15	Dim.16	Pearson C.16	P-value.16	Occ.16	P-Bonferroni.16	Dim.17	Pearson C.17	P-value.17	Occ.17	P-Bonferroni.17	Dim.18	Pearson C.18	P-value.18	Occ.18	P-Bonferroni.18	Dim.19	Pearson C.19	P-value.19	Occ.19	P-Bonferroni.19
0	0	149_нищета-состояние	-0.15161014617766186	0.017798669568429033	244.0	4.342875374696684	16_воля-неволя	0.17295785125158036	0.01823808429805417	186.0	3.3922836794380755	21_получение_результата-разработка	0.17377984272727354	0.00947521602190394	222.0	2.1034979568626744	138_война-мир	-0.13504890018177534	0.026773251256742955	269.0	7.202004588063855	183_неживая_природа-живая_природа	0.19646858271102374	0.0006481539992594348	298	0.19314989177931155	160_победа-поражение	0.1919521102046198	0.025173776791444214	136.0	3.423633643636413	291_работа-санкция	-0.11336770944313045	0.02794534095908565	376.0	10.507448200616203	205_отдых-рабочий_процесс	-0.1813169839089866	0.01902686900254117	167.0	3.177487123424376	99_благоразумие-безолаберность	0.16930513235455852	0.02053440870198045	187.0	3.839934427270344	49_развитие-откат	-0.19979045293768027	0.012399128381351649	156.0	1.934264027490857	52_близость-расстояние	0.11092879371442026	0.021716558150775483	428.0	9.294686888531906	6_холодное_отношение-тёплое_отношение	-0.2221713085751768	0.0031265932492797353	175.0	0.5471538186239536	75_действующее_лицо-зритель	0.23849068563399745	0.009302441739778157	118.0	1.0976881252938224	91_здоровье-болезнь	0.14455763532678625	0.03816588575796969	206.0	7.8621724661417565	284_учеба-производство	0.13915791778739145	0.015176851743118619	304.0	4.61376292990806	255_голод-неопределенная_тема	-0.23723168965907626	0.013880118855668054	107.0	1.4851727175564815	27_труд-фортуна	0.1367212622114539	0.02310139425887464	276.0	6.3759848154494	215_творчество-власть	-0.16196244596115336	0.02405718798013392	194.0	4.66709446814598	83_речь-текст	0.1859028179152125	0.030242817734211343	136.0	4.113023211852743	246_чистота-беспорядок	0.2136520771520746	0.033720645818659814	99.0	3.3383439360473215
1	1	236_умственный_труд-физический_труд	0.12875494792311315	0.044509605864586	244.0	10.860343830958984	241_нападение-оборона	-0.16549043197554547	0.02398549529066149	186.0	4.461302124063038	82_суматоха-спокойствие	0.16556461376141293	0.013511244639896593	222.0	2.9994963100570438	152_исчезнование-появление	0.13053523448996682	0.032344072614749315	269.0	8.700555533367567	172_наука-быт	-0.19117442907832533	0.0009100348998572396	298	0.2711904001574574											137_вертикальные_отношения-горизонтальные_отношения	0.16860298479904706	0.029399863292395044	167.0	4.9097771698299715	12_частное-общее	0.14752992221132552	0.04390953366056476	187.0	8.21108279452561	196_неуют-уют	0.18577274119179066	0.020238909820412116	156.0	3.1572699319842896						165_улучшение-ухудшение	-0.19140940224779016	0.011165742700990905	175.0	1.9540049726734083	117_живая_природа-неживая_природа	-0.2323613125167558	0.011342173534201574	118.0	1.3383764770357858	33_абстрактная_работа-конкретная_работа	0.1427027319539028	0.04073763437077662	206.0	8.391952680379982	116_смерть-жизнь	-0.12909893175912113	0.024380989614715968	304.0	7.411820842873653	276_начало-конец	-0.23350447392614115	0.015495716892875268	107.0	1.6580417075376537	134_физическое-абстрактное	-0.12385594866464482	0.03975988891117136	276.0	10.973729339483292	290_статистика-отсутствие_системы	-0.15510094350260056	0.03081680976372628	194.0	5.978461094162897										
2	2	285_опасность-безопасность	0.12574067851018858	0.04978117368533763	244.0	12.146606379222384						226_человек-транспорт	-0.15813680683369907	0.01838662662561044	222.0	4.081831110885518	89_апатия-взбудораженность	-0.12456125994127447	0.04121109868601658	269.0	11.085785546538462	75_действующее_лицо-зритель	0.1874981342916537	0.0011459406306660253	298	0.3414903079384755											17_полемика-консенсус	-0.1654243468265828	0.03264364947835484	167.0	5.451489462885259	291_работа-санкция	0.14709027495292926	0.04454960372127067	187.0	8.330775895877615	23_мир-конфликт	-0.18255871301499105	0.02254707804400211	156.0	3.5173441748643284						40_уклад_жизни-дисциплина	0.1514556103274568	0.04541739859210457	175.0	7.9480447536183	275_жизненный_процесс-кончина	0.2293370434362298	0.01248581814634946	118.0	1.4733265412692365						117_живая_природа-неживая_природа	0.125978233404769	0.028076659194697696	304.0	8.5353043951881	34_духовное_наслаждение-физическое_наслаждение	-0.21502034250318466	0.026138545568687183	107.0	2.7968243758495297						88_лишение-наделение	-0.15226250814947026	0.03405333779588948	194.0	6.60634753240256										
3	3											140_шум-тишина	0.14693361380550954	0.02861166646097177	222.0	6.351789954335732						85_направление-дезориентация	-0.18734513938867856	0.001156880660917632	298	0.3447504369534544											122_неопределенная_тема-здоровье	-0.16373347227491392	0.03448962348017498	167.0	5.759767121189221	132_правонарушение-соблюдение_закона	-0.14677199607360925	0.04501783356336707	187.0	8.418334876349642	227_иерархия-равенство	0.18036558443171632	0.02424911006910836	156.0	3.782861170780905						246_чистота-беспорядок	-0.1500524288043269	0.04747724905528647	175.0	8.308518584675133	198_обучение-достижение	-0.2168755753170173	0.018327134436407117	118.0	2.1626018634960404						99_благоразумие-безолаберность	-0.1214599169631696	0.03427300858430485	304.0	10.418994609628676	57_улица-дом	0.2127546103920737	0.027795840452764432	107.0	2.9741549284457944						123_отдых-работа	0.15063471906573714	0.03603629098062874	194.0	6.991040450241977										
4	4											264_безопасность-опасность	-0.14584003725823574	0.029830895473687363	222.0	6.622458795158595						103_познание-непостижимость	-0.18106506391558494	0.0016980763054644282	298	0.5060267390283996											86_доказательство-совпадение	-0.15809004786657774	0.04130265995257707	167.0	6.897544212080371	77_природные_процессы-военные_процессы	0.1465743160208356	0.0453107135433243	187.0	8.473103432601643	241_нападение-оборона	0.1772103718384805	0.02689061587066176	156.0	4.194936075823235											139_свобода-неволя	-0.21640647965374127	0.01858686532670915	118.0	2.19325010855168						145_высказывание-умалчивание	-0.12022101710376967	0.036162621778893615	304.0	10.993437020783658	142_равенство-иерархия	0.21200008021933986	0.02836720870610293	107.0	3.035291331553014						263_влияние-зависимость	-0.1499898033042513	0.03684849962030738	194.0	7.148608926339632										
5	5											195_болезнь-работа	0.1434439008662085	0.03265819464667219	222.0	7.250119211561227						38_личное-общее	0.1721294646996178	0.0028711224368321887	298	0.8555944861759921											163_человек-инструмент	-0.1574278210771244	0.0421715824136738	167.0	7.042654263083524	113_скрытность-прозрачность	-0.14419306975803356	0.04896563285936263	187.0	9.156573344700812	17_полемика-консенсус	0.16174948600180133	0.04366354386274985	156.0	6.811512842588978											82_суматоха-спокойствие	-0.215727135840904	0.018968639897394682	118.0	2.2382995078925725						219_соблюдение_закона-правонарушение	0.12016670123298287	0.03624744940086812	304.0	11.019224617863907	289_недовольство-радость	-0.21162216828278416	0.02865711123244008	107.0	3.066310901871088																				
6	6											191_техническое_взаимодействие-животные_взаимоотношения	-0.14330802839849774	0.032825124829151835	222.0	7.287177712071707						269_власть-беспорядок	-0.15997851970604665	0.005641880909752977	298	1.681280511106387																					32_разруха-реализация	0.1609632904654749	0.04471018045163375	156.0	6.974788150454866											89_апатия-взбудораженность	-0.20977974322471785	0.02260977097039591	118.0	2.6679529745067176						212_наука-быт	0.1190693666550567	0.037997693313010436	304.0	11.551298767155176	172_наука-быт	-0.21141724314664406	0.028815361530846267	107.0	3.0832436838005512																				
7	7											201_вирус-растение	-0.1373124618394818	0.04094840331765174	222.0	9.090545536518686						112_профессиональный-любительский	0.15936634354645418	0.005830397232052312	298	1.7374583751515893																					180_потребление-вывод	-0.160310235546909	0.04559542841567744	156.0	7.112886832845679											223_бытовые_ситуации-глобальные_происшествия	-0.20908420308680173	0.02307240655298066	118.0	2.7225439732517183						6_холодное_отношение-тёплое_отношение	-0.11821358118500848	0.03941182906543717	304.0	11.981196035892902	43_энергия-покой	-0.21031869783204848	0.029676395326579407	107.0	3.1753742999439964																				
8	8											162_история-одномоментное_происшествие	-0.13659777084864275	0.04202101669287415	222.0	9.32866570581806						114_церковь-мирская_жизнь	0.1591839760903175	0.005887638316578176	298	1.7545162183402965																					67_неизменность-изменение	0.15992392767256852	0.04612593835937958	156.0	7.195646384063214											81_религия-наука	-0.2084303906326243	0.02351466199499515	118.0	2.774730115409428						61_единство-разрозренность	0.11669065231346015	0.04203836962657816	304.0	12.779664366479762	56_протест-мир	-0.20956321086675692	0.03028111440790332	107.0	3.2400792416456548																				
9	9																					210_спешка-неторопливость	-0.1591435570027991	0.0059003929903830715	298	1.7583171111341551																					169_потеря-приобретение	0.1598740111072941	0.046194861935196105	156.0	7.206398461890592											169_потеря-приобретение	0.20587855814862072	0.025310938103104717	118.0	2.986690696166357						252_современность-древность	-0.11423057039639267	0.04659188455909565	304.0	14.163932905965073	51_творческая_реализация - эмоциональное_переживание	0.2087804529279842	0.030918636582222277	107.0	3.3082941142977838																				
10	10																					113_скрытность-прозрачность	-0.156075840800302	0.006943828031550707	298	2.069260753402111																					2_неживая_природа-живая_природа	-0.1577728420737185	0.049174951957295564	156.0	7.671292505338108											228_народ-власть	0.20376414984526547	0.026886876870639804	118.0	3.172651470735497											196_неуют-уют	-0.2070604148310627	0.03235951351447375	107.0	3.462467946048691																				
11	11																					254_свобода-неволя	-0.1545447473738922	0.007523910061278308	298	2.2421251982609363																																				115_наследство-собственность	0.2031928266803811	0.02732678355692575	118.0	3.2245604597172384											147_рассудительность-беспокойство	-0.20560171727402904	0.03362551414591067	107.0	3.597930013612441																				
12	12																					39_целостность-пустота	-0.1544895508860386	0.007545606767010574	298	2.248590816569151																																				147_рассудительность-беспокойство	0.202683371346368	0.027724208546971232	118.0	3.271456608542605											198_обучение-достижение	-0.19716699298846546	0.041792129372090855	107.0	4.471757842813722																				
13	13																					121_несовременность-актуальность	0.1531966559018303	0.008070043766101449	298	2.404873042298232																																				11_приобретение-постоянное_местонахождение	0.20082864529350852	0.02921289200754665	118.0	3.4471212568905045											99_благоразумие-безолаберность	0.19373516056938486	0.045558605008945575	107.0	4.874770735957177																				
