	Unnamed: 0	свой_DET	свой_DET.1	свой_DET.2	свой_DET.3	свой_DET.4	они_PRON	они_PRON.1	они_PRON.2	они_PRON.3	они_PRON.4	хотеть_VERB	хотеть_VERB.1	хотеть_VERB.2	хотеть_VERB.3	хотеть_VERB.4	человек_NOUN	человек_NOUN.1	человек_NOUN.2	человек_NOUN.3	человек_NOUN.4	очень_ADV	очень_ADV.1	очень_ADV.2	очень_ADV.3	очень_ADV.4	мочь_VERB	мочь_VERB.1	мочь_VERB.2	мочь_VERB.3	мочь_VERB.4	мой_DET	мой_DET.1	мой_DET.2	мой_DET.3	мой_DET.4	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	первый_ADJ	первый_ADJ.1	первый_ADJ.2	первый_ADJ.3	первый_ADJ.4	хороший_ADJ	хороший_ADJ.1	хороший_ADJ.2	хороший_ADJ.3	хороший_ADJ.4	еще_ADV	еще_ADV.1	еще_ADV.2	еще_ADV.3	еще_ADV.4	произойти_VERB	произойти_VERB.1	произойти_VERB.2	произойти_VERB.3	произойти_VERB.4	день_NOUN	день_NOUN.1	день_NOUN.2	день_NOUN.3	день_NOUN.4	видеть_VERB	видеть_VERB.1	видеть_VERB.2	видеть_VERB.3	видеть_VERB.4	жить_VERB	жить_VERB.1	жить_VERB.2	жить_VERB.3	жить_VERB.4	ничто_PRON	ничто_PRON.1	ничто_PRON.2	ничто_PRON.3	ничто_PRON.4
	Unnamed: 0	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim.1	Pearson C.1	P-value.1	Occ.1	P-Bonferroni.1	Dim.2	Pearson C.2	P-value.2	Occ.2	P-Bonferroni.2	Dim.3	Pearson C.3	P-value.3	Occ.3	P-Bonferroni.3	Dim.4	Pearson C.4	P-value.4	Occ.4	P-Bonferroni.4	Dim.5	Pearson C.5	P-value.5	Occ.5	P-Bonferroni.5	Dim.6	Pearson C.6	P-value.6	Occ.6	P-Bonferroni.6	Dim.7	Pearson C.7	P-value.7	Occ.7	P-Bonferroni.7	Dim.8	Pearson C.8	P-value.8	Occ.8	P-Bonferroni.8	Dim.9	Pearson C.9	P-value.9	Occ.9	P-Bonferroni.9	Dim.10	Pearson C.10	P-value.10	Occ.10	P-Bonferroni.10	Dim.11	Pearson C.11	P-value.11	Occ.11	P-Bonferroni.11	Dim.12	Pearson C.12	P-value.12	Occ.12	P-Bonferroni.12	Dim.13	Pearson C.13	P-value.13	Occ.13	P-Bonferroni.13	Dim.14	Pearson C.14	P-value.14	Occ.14	P-Bonferroni.14	Dim.15	Pearson C.15	P-value.15	Occ.15	P-Bonferroni.15
0	0	129_успех-беда	-0.1887591112000237	0.005171500926589857	218.0	1.1273872019965887	69_труд-месть	-0.1664465926256687	0.04391431100451019	147.0	6.455403717662997	270_древность-современность	-0.21197000352415568	0.024202749474833626	113.0	2.7349106906561995	246_чистота-беспорядок	0.21608201214941447	0.0033048412291894445	183.0	0.6047859449416684	188_страх-надёжность	-0.29533319805639435	0.0009583871601709797	122	0.11692323354085955	204_столкновение-мир	0.22636030105502386	0.008051231323599209	136.0	1.0949674600094927	56_протест-мир	-0.2854306090217405	0.018304759835474436	68.0	1.2447236688122614	143_неважность-значимость	0.2727299353450785	0.04011750947525765	57.0	2.286698040089686	140_шум-тишина	-0.3970455856117266	0.00838337339038505	43.0	0.3604850557865572	246_чистота-беспорядок	0.25405042659806304	0.027848842241755968	75.0	2.0886631681316974	285_опасность-безопасность	-0.2417307897111377	0.043794230326566735	70.0	3.0655961228596715	125_разработка-разрушение	0.3910258155164457	0.005995088789977609	48.0	0.28776426191892523	295_прощение-мстительность	0.3588858199027501	0.04367940329817402	32.0	1.3977409055415686	191_техническое_взаимодействие-животные_взаимоотношения	0.3048769722606887	0.0015652522461260044	105.0	0.16435148584323048	167_дополнение-устранение	0.34206438327394423	0.0052876275614683645	65.0	0.3436957914954437	123_отдых-работа	-0.4139481866525103	0.010867776130192712	37.0	0.4021077168171303
1	1	225_кража-находка	-0.18491658066937025	0.006177298928803885	218.0	1.3466511664792469						269_власть-беспорядок	-0.2053891420369922	0.029082704014593407	113.0	3.2863455536490553	177_изыскание-решение	0.1898083776786774	0.010066856790794972	183.0	1.84223479271548	258_конец-начало	0.28839486041253315	0.0012758229980117705	122	0.155650405757436	133_торможение-развитие	-0.21436338528241647	0.012210110051299352	136.0	1.660574966976712	197_проблема-решение_проблем	-0.2780851109190845	0.02166865991396284	68.0	1.473468874149473						219_соблюдение_закона-правонарушение	-0.3911670516929814	0.009494135091162944	43.0	0.4082478089200066											212_наука-быт	0.3864116997336732	0.006671163692750086	48.0	0.3202158572520042						167_дополнение-устранение	-0.26243942804704035	0.0068388324135860434	105.0	0.7180774034265347	98_разрушение-поддержание	-0.30452038898834943	0.013649094599036841	65.0	0.8871911489373946	30_стихийное_собрание-мероприятия	-0.4107212027960446	0.01156653283594578	37.0	0.4279617149299938
2	2	208_неживая_природа-живая_природа	0.17185712332650513	0.011028597804274506	218.0	2.4042343213318422						211_больница-дом	0.2008165592309113	0.03294516467807285	113.0	3.722803608622232	41_развлечение-когнитивная-способность	-0.16646386440678734	0.02431036069083224	183.0	4.4487960064223	140_шум-тишина	-0.274728245188624	0.0021958079717281673	122	0.2678885725508364	81_религия-наука	-0.21361987000822086	0.012520858066726284	136.0	1.7028366970747748	77_природные_процессы-военные_процессы	-0.2688229225731758	0.026647120385298404	68.0	1.812004186200292						204_столкновение-мир	-0.3802999547559761	0.011882195511212215	43.0	0.5109344069821253											248_спор-согласие	-0.35104714156934624	0.014427835007962684	48.0	0.6925360803822087						128_неловкость-ловкость	-0.22824449916776626	0.019190242254310614	105.0	2.0149754367026147	101_фиксация-пересмотр	0.2736176675231157	0.027422794435815176	65.0	1.7824816383279865	198_обучение-достижение	-0.3889859338401897	0.017338007199020584	37.0	0.6415062663637616
3	3	177_изыскание-решение	0.16801737717888032	0.012985379451797315	218.0	2.8308127204918145						245_любовь-ненависть	-0.19690273783750772	0.03658704179479568	113.0	4.134335722811911	184_правонарушение-соблюдение_закона	0.16354445894869288	0.026956673065164104	183.0	4.9330711709250314	83_речь-текст	0.2671200912202225	0.002936511777947281	122	0.3582544369095683	236_умственный_труд-физический_труд	-0.2085525194991798	0.014829158157394275	136.0	2.0167655094056216	192_производство-наука	0.24146105618420785	0.047291342167228766	68.0	3.2158112673715555						76_мир-война	0.363392813106524	0.0166098936510253	43.0	0.7142254269940879											278_физический_труд-умственный_труд	0.34333486749614744	0.016888962337179732	48.0	0.8106701921846271						214_спешка-неторопливость	-0.22706895477110856	0.019836439094676108	105.0	2.082826104940992	157_отсутствие_чувств-чувства	0.2720293545639627	0.028369639461422427	65.0	1.8440265649924577	278_физический_труд-умственный_труд	-0.38381260516940974	0.01902068128973709	37.0	0.7037652077202724
4	4	65_серьёзность-веселье	-0.15176263593982434	0.02503503524745908	218.0	5.457637683946079						282_путешествие-домоседство	-0.19623987705756596	0.037236171495283125	113.0	4.207687378966993	252_современность-древность	-0.1614482426956648	0.02900561452622624	183.0	5.308027458299403	125_разработка-разрушение	0.258871763361858	0.003987549214136739	122	0.4864810041246821	215_творчество-власть	-0.19436364276490534	0.02336601565472167	136.0	3.1777781290421467											64_человеческое_взаимодействие-механическое_взаимодействие	-0.35954044183820605	0.01788540376616431	43.0	0.7690723619450652											12_частное-общее	-0.3316755569220249	0.021281177651332646	48.0	1.0214965272639671						277_неживая_природа-живая_природа	0.2126154678373054	0.02944012985203281	105.0	3.091213634463445	10_рутина-отдых	-0.2705596979384591	0.02927008563039107	65.0	1.9025555659754196	64_человеческое_взаимодействие-механическое_взаимодействие	-0.3607473357001577	0.02827282588114652	37.0	1.046094557602421
5	5	161_холодное_отношение-тёплое_отношение	-0.14945051441368148	0.02736089124376237	218.0	5.964674291140196						250_быт-война	-0.194456147717868	0.039031141492294516	113.0	4.41051898862928	282_путешествие-домоседство	-0.15137927116742736	0.040796474204840436	183.0	7.4657547794858	38_личное-общее	0.25815979477237205	0.004092447733600679	122	0.4992786234992829	120_усталость-покой	0.1784450816871466	0.037662036061951135	136.0	5.122036904425356											211_больница-дом	0.359441653998974	0.017919168861702743	43.0	0.7705242610532179											99_благоразумие-безолаберность	-0.32775605136106706	0.022958585038593115	48.0	1.1020120818524697											174_праздник-быт	-0.26499860638806555	0.0328974533134766	65.0	2.138334465375979	147_рассудительность-беспокойство	0.35936041077794256	0.028930441795738025	37.0	1.0704263464423067
6	6	246_чистота-беспорядок	0.14942765650163928	0.027384779188914687	218.0	5.969881863183402						139_свобода-неволя	-0.19299890707710693	0.04055085687382436	113.0	4.5822468267421534	19_быстрое_явление-длительное_явление	-0.1500702701123121	0.042590877039935145	183.0	7.7941304983081325	45_наука-быт	0.2523632721395441	0.0050427884260625284	122	0.6152201879796285	184_правонарушение-соблюдение_закона	-0.1767864275754514	0.03950549586530131	136.0	5.372747437680979											279_соблюдение_закона-правонарушение	0.3584751399614004	0.018252362746517217	43.0	0.7848515981002405											17_полемика-консенсус	-0.3186129499937365	0.027307064764947545	48.0	1.3107391087174822											41_развлечение-когнитивная-способность	0.26079896621542825	0.035879317055459804	65.0	2.3321556086048867	115_наследство-собственность	0.3425603161746211	0.03794421239778872	37.0	1.4039358587181827
7	7	89_апатия-взбудораженность	0.14879488722491588	0.028053192732408427	218.0	6.115596015665036						112_профессиональный-любительский	0.18775536722139927	0.04643438964480589	113.0	5.247086029863065	87_народ-власть	0.14998810415485006	0.04270568548498432	183.0	7.8151404437521315	176_животное-человек	-0.25161246210385896	0.005179303871877728	122	0.6318750723690827	52_близость-расстояние	0.17252464705688972	0.044592153688471935	136.0	6.064532901632183											190_погода-животное	-0.3562731027873538	0.01903103144450326	43.0	0.8183343521136404											229_закрытие-открытие	-0.309901504322852	0.032069247137946025	48.0	1.5393238626214092											219_соблюдение_закона-правонарушение	0.259263778238488	0.0370240258839045	65.0	2.4065616824537925					
8	8	98_разрушение-поддержание	-0.14706616580323612	0.02995089908204152	218.0	6.529295999885052						35_кончина-вечное_искусство	-0.18533067895801808	0.049385591646325035	113.0	5.580571856034728						72_недостаток-достоинство	0.24935685347671474	0.005609476593583851	122	0.6843561444172298																242_отдых-работа	-0.3531743493953018	0.020174002208993836	43.0	0.8674820949867348											8_застой-работа	-0.3087769885720236	0.032731313388133065	48.0	1.5711030426303871											228_народ-власть	-0.25197312700165	0.04288236786103903	65.0	2.7873539109675374					
