	Unnamed: 0	я_PRON	я_PRON.1	я_PRON.2	я_PRON.3	я_PRON.4	свой_DET	свой_DET.1	свой_DET.2	свой_DET.3	свой_DET.4	он_PRON	он_PRON.1	он_PRON.2	он_PRON.3	он_PRON.4	хотеть_VERB	хотеть_VERB.1	хотеть_VERB.2	хотеть_VERB.3	хотеть_VERB.4	очень_ADV	очень_ADV.1	очень_ADV.2	очень_ADV.3	очень_ADV.4	она_PRON	она_PRON.1	она_PRON.2	она_PRON.3	она_PRON.4	думать_VERB	думать_VERB.1	думать_VERB.2	думать_VERB.3	думать_VERB.4	мочь_VERB	мочь_VERB.1	мочь_VERB.2	мочь_VERB.3	мочь_VERB.4	мой_DET	мой_DET.1	мой_DET.2	мой_DET.3	мой_DET.4	мы_PRON	мы_PRON.1	мы_PRON.2	мы_PRON.3	мы_PRON.4	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	знать_VERB	знать_VERB.1	знать_VERB.2	знать_VERB.3	знать_VERB.4	хороший_ADJ	хороший_ADJ.1	хороший_ADJ.2	хороший_ADJ.3	хороший_ADJ.4	еще_ADV	еще_ADV.1	еще_ADV.2	еще_ADV.3	еще_ADV.4	произойти_VERB	произойти_VERB.1	произойти_VERB.2	произойти_VERB.3	произойти_VERB.4	день_NOUN	день_NOUN.1	день_NOUN.2	день_NOUN.3	день_NOUN.4	жить_VERB	жить_VERB.1	жить_VERB.2	жить_VERB.3	жить_VERB.4
	Unnamed: 0	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim.1	Pearson C.1	P-value.1	Occ.1	P-Bonferroni.1	Dim.2	Pearson C.2	P-value.2	Occ.2	P-Bonferroni.2	Dim.3	Pearson C.3	P-value.3	Occ.3	P-Bonferroni.3	Dim.4	Pearson C.4	P-value.4	Occ.4	P-Bonferroni.4	Dim.5	Pearson C.5	P-value.5	Occ.5	P-Bonferroni.5	Dim.6	Pearson C.6	P-value.6	Occ.6	P-Bonferroni.6	Dim.7	Pearson C.7	P-value.7	Occ.7	P-Bonferroni.7	Dim.8	Pearson C.8	P-value.8	Occ.8	P-Bonferroni.8	Dim.9	Pearson C.9	P-value.9	Occ.9	P-Bonferroni.9	Dim.10	Pearson C.10	P-value.10	Occ.10	P-Bonferroni.10	Dim.11	Pearson C.11	P-value.11	Occ.11	P-Bonferroni.11	Dim.12	Pearson C.12	P-value.12	Occ.12	P-Bonferroni.12	Dim.13	Pearson C.13	P-value.13	Occ.13	P-Bonferroni.13	Dim.14	Pearson C.14	P-value.14	Occ.14	P-Bonferroni.14	Dim.15	Pearson C.15	P-value.15	Occ.15	P-Bonferroni.15	Dim.16	Pearson C.16	P-value.16	Occ.16	P-Bonferroni.16
0	0	57_улица-дом	-0.6057100889625562	4.7103806864821827e-07	58	2.7320207981596666e-05	224_власть-отставка	-0.5975172803943473	9.434084203597372e-05	37.0	0.0034906111553310282	145_высказывание-умалчивание	0.8374102505536725	0.018718503510623784	7.0	0.13102952457436648	238_дистанция-близость	0.9672957172147266	0.007064782130272644	5.0	0.03532391065136322	167_дополнение-устранение	-0.7808798146843791	0.0027170997434014755	12.0	0.0326051969208177	226_человек-транспорт	0.9861822600229532	0.00028507579699084737	6.0	0.0017104547819450846	32_разруха-реализация	0.8741521203526053	0.022759963439881032	6.0	0.1365597806392862	209_отрицание-утверждение	-0.9093584700439667	0.0002643919536634948	10.0	0.0026439195366349468	34_духовное_наслаждение-физическое_наслаждение	0.5166335855315111	0.04862708855873095	15.0	0.7294063283809642	6_холодное_отношение-тёплое_отношение	-0.9992283082922728	0.0007716917077271733	4.0	0.0030867668309086933	58_формирование-перестройка	-0.7484713199557104	0.002073395786032697	14.0	0.02902754100445776	207_фантастика-реальность	0.9993501134375192	0.0006498865624808836	4.0	0.0025995462499235344	212_наука-быт	0.602938694133519	0.017348429881137682	15.0	0.26022644821706525	57_улица-дом	-0.8472755248872109	0.003934658009615241	9.0	0.035411922086537165	166_порядочность-мошенничество	-0.999997143437678	2.8565623219067864e-06	4.0	1.1426249287627145e-05	23_мир-конфликт	0.6119380413619042	0.011757920405628257	16.0	0.1881267264900521	275_жизненный_процесс-кончина	0.6403396105447907	0.04610256354956955	10.0	0.4610256354956955
1	1	133_торможение-развитие	0.5864549191633492	1.3152005670084716e-06	58	7.628163288649134e-05	147_рассудительность-беспокойство	-0.5691602614297628	0.00023681597130806846	37.0	0.008762190938398532	87_народ-власть	0.8291497805875973	0.02108820544968766	7.0	0.14761743814781364	156_физический_труд-умственный_труд	-0.9621295275847128	0.008796348258979736	5.0	0.04398174129489868	260_быт-искусство	0.7084648223846847	0.009912280849363157	12.0	0.11894737019235785	21_получение_результата-разработка	0.9824921978223952	0.00045710143241170037	6.0	0.002742608594470203						157_отсутствие_чувств-чувства	0.8845574946003861	0.0006744846298389437	10.0	0.006744846298389437						3_спокойствие-суматоха	0.9974045373594296	0.002595462640570534	4.0	0.010381850562282136	53_подчинение-неповиновение	-0.7044445997941903	0.004911088014061953	14.0	0.06875523219686734	89_апатия-взбудораженность	0.9952114882515841	0.00478851174841599	4.0	0.01915404699366396						134_физическое-абстрактное	-0.7032633166730865	0.03454851023988019	9.0	0.3109365921589217						127_начало-конец	-0.5861439418180268	0.017024971926029392	16.0	0.2723995508164702					
2	2	167_дополнение-устранение	-0.5449142522415322	9.755734208777518e-06	58	0.000565832584109096	165_улучшение-ухудшение	0.5688046191802357	0.00023943869517620566	37.0	0.008859231721519608	134_физическое-абстрактное	-0.7996724289384641	0.03086969006789857	7.0	0.21608783047529	288_радость-недовольство	0.9602869054978757	0.009443442448959964	5.0	0.04721721224479982	246_чистота-беспорядок	0.6518593211890409	0.02162505786785886	12.0	0.25950069441430634	205_отдых-рабочий_процесс	0.9766829933986	0.0008091856675929988	6.0	0.004855114005557994						189_наука-религия	0.8805551735386039	0.0007691291986512722	10.0	0.007691291986512721						225_кража-находка	-0.9952999084346328	0.004700091565367326	4.0	0.018800366261469303	137_вертикальные_отношения-горизонтальные_отношения	0.6345547217996204	0.014783081585494075	14.0	0.20696314219691708	282_путешествие-домоседство	0.9945729083898492	0.005427091610150757	4.0	0.021708366440603036																100_труд-отдых	-0.5837535520539471	0.0175930836261095	16.0	0.281489338017752					
3	3	163_человек-инструмент	0.5447241267525446	9.83964155178353e-06	58	0.0005706992100034447	133_торможение-развитие	-0.5620830203817445	0.00029416036144057004	37.0	0.010883933373301092	218_трусость-мужество	0.7958440770283773	0.03229452809900657	7.0	0.22606169669304602	265_радость-недовольство	-0.9559717197688746	0.011016465863369358	5.0	0.055082329316846784	123_отдых-работа	-0.614337500872349	0.033555473382103136	12.0	0.4026656805852377	155_поражение-победа	0.969164845312126	0.0014115510101049215	6.0	0.00846930606062953						153_прерывание-продолжение	-0.8802339221550257	0.0007771237406227938	10.0	0.007771237406227938						166_порядочность-мошенничество	-0.9899116995313962	0.01008830046860376	4.0	0.04035320187441505						238_дистанция-близость	0.9922183621588168	0.007781637841183242	4.0	0.03112655136473297																76_мир-война	0.5607901370085687	0.02383219814379021	16.0	0.3813151703006433					
4	4	134_физическое-абстрактное	-0.5372379612758695	1.3729153290449748e-05	58	0.0007962908908460852	198_обучение-достижение	0.5443055347763075	0.000496631378160682	37.0	0.018375360991945238	28_неисправность-отлаженность	-0.7672441331322434	0.0440846849298952	7.0	0.30859279450926635	258_конец-начало	0.9539320647632342	0.011787126967802396	5.0	0.05893563483901197	297_юмор-суровость	-0.5951056609702101	0.0412209665672385	12.0	0.4946515988068619	58_формирование-перестройка	0.965729627692148	0.0017415630635536745	6.0	0.010449378381322049						269_власть-беспорядок	-0.866153555010746	0.0011909363358101304	10.0	0.011909363358101306						17_полемика-консенсус	-0.9868965025991154	0.013103497400884569	4.0	0.05241398960353827						35_кончина-вечное_искусство	0.9906178609909329	0.00938213900906715	4.0	0.03752855603626859																157_отсутствие_чувств-чувства	0.5520258940580678	0.026616375121353758	16.0	0.4258620019416602					
5	5	59_увядание-расцвет	0.5313672535046321	1.7729685181517547e-05	58	0.0010283217405280178	201_вирус-растение	0.5359941941229214	0.0006282105391178688	37.0	0.02324378994736114						98_разрушение-поддержание	-0.9513476846355507	0.012787748571649436	5.0	0.06393874285824717	221_получение_денег-отсутствие_денег	-0.5800814687249745	0.04801705076962744	12.0	0.5762046092355293	96_наука-быт	0.9626402935177611	0.0020675491410504713	6.0	0.012405294846302829						266_мир-война	0.8538229169089805	0.0016680413065540485	10.0	0.016680413065540484						245_любовь-ненависть	0.9793504478187322	0.02064955218126796	4.0	0.08259820872507184						132_правонарушение-соблюдение_закона	0.9869830388343772	0.013016961165622787	4.0	0.05206784466249115																87_народ-власть	0.5316772191455932	0.03403777226098018	16.0	0.5446043561756829					
6	6	120_усталость-покой	-0.5231666243510683	2.514290568727943e-05	58	0.0014582885298622071	68_власть-народ	0.5273616591791743	0.0007968485665863841	37.0	0.02948339696369621						229_закрытие-открытие	0.9485274720450212	0.013909620138865876	5.0	0.06954810069432939						290_статистика-отсутствие_системы	0.9588901307351748	0.0025002937480599233	6.0	0.015001762488359537						25_скрытность-прозрачность	-0.8517847065032262	0.0017584876598971575	10.0	0.017584876598971576						286_начало-конец	0.978734307009968	0.021265692990032115	4.0	0.08506277196012846						48_отдаление-приближение	-0.9848052442105054	0.015194755789494585	4.0	0.06077902315797834																77_природные_процессы-военные_процессы	0.5305745994288965	0.034480447315988115	16.0	0.5516871570558097					
7	7	4_праздник-быт	-0.5198681424023323	2.8862895524751965e-05	58	0.001674047940435614	210_спешка-неторопливость	0.5097633930225495	0.0012694717033838675	37.0	0.0469704530252031						6_холодное_отношение-тёплое_отношение	0.934703984617393	0.019831879998882637	5.0	0.09915939999441316						44_упорядоченность-однородная_масса	0.9583708718727592	0.0025634051500380358	6.0	0.015380430900228215						150_безопасность-опасность	-0.8513484655075897	0.0017782978338630726	10.0	0.017782978338630726						175_нематериальное-материальное	-0.9717563709020564	0.02824362909794353	4.0	0.11297451639177415						175_нематериальное-материальное	0.9763510279572942	0.02364897204270577	4.0	0.0945958881708231																276_начало-конец	-0.5235697104546733	0.037395358240890034	16.0	0.5983257318542405					
8	8	113_скрытность-прозрачность	-0.5171554401504461	3.229672681187672e-05	58	0.0018732101550888497	228_народ-власть	-0.4858028158408516	0.002302628130619152	37.0	0.08519724083290862						61_единство-разрозренность	-0.9328013145623756	0.020698950332566426	5.0	0.10349475166283212						239_радость-недовольство	-0.9576294270131904	0.002654864969845077	6.0	0.015929189819070464						258_конец-начало	-0.8510808322131628	0.0017905310127965023	10.0	0.017905310127965025						241_нападение-оборона	-0.9716217224568879	0.02837827754311195	4.0	0.1135131101724478						77_природные_процессы-военные_процессы	-0.9761302304401632	0.023869769559836773	4.0	0.09547907823934708																6_холодное_отношение-тёплое_отношение	0.5142442283541331	0.04155980663900142	16.0	0.6649569062240227					
