	Unnamed: 0	я_PRON	я_PRON.1	я_PRON.2	я_PRON.3	я_PRON.4	свой_DET	свой_DET.1	свой_DET.2	свой_DET.3	свой_DET.4	они_PRON	они_PRON.1	они_PRON.2	они_PRON.3	они_PRON.4	он_PRON	он_PRON.1	он_PRON.2	он_PRON.3	он_PRON.4	хотеть_VERB	хотеть_VERB.1	хотеть_VERB.2	хотеть_VERB.3	хотеть_VERB.4	время_NOUN	время_NOUN.1	время_NOUN.2	время_NOUN.3	время_NOUN.4	очень_ADV	очень_ADV.1	очень_ADV.2	очень_ADV.3	очень_ADV.4	мочь_VERB	мочь_VERB.1	мочь_VERB.2	мочь_VERB.3	мочь_VERB.4	мой_DET	мой_DET.1	мой_DET.2	мой_DET.3	мой_DET.4	мы_PRON	мы_PRON.1	мы_PRON.2	мы_PRON.3	мы_PRON.4	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	первый_ADJ	первый_ADJ.1	первый_ADJ.2	первый_ADJ.3	первый_ADJ.4	год_NOUN	год_NOUN.1	год_NOUN.2	год_NOUN.3	год_NOUN.4	хороший_ADJ	хороший_ADJ.1	хороший_ADJ.2	хороший_ADJ.3	хороший_ADJ.4	еще_ADV	еще_ADV.1	еще_ADV.2	еще_ADV.3	еще_ADV.4	произойти_VERB	произойти_VERB.1	произойти_VERB.2	произойти_VERB.3	произойти_VERB.4	ждать_VERB	ждать_VERB.1	ждать_VERB.2	ждать_VERB.3	ждать_VERB.4	день_NOUN	день_NOUN.1	день_NOUN.2	день_NOUN.3	день_NOUN.4	видеть_VERB	видеть_VERB.1	видеть_VERB.2	видеть_VERB.3	видеть_VERB.4	ничто_PRON	ничто_PRON.1	ничто_PRON.2	ничто_PRON.3	ничто_PRON.4
	Unnamed: 0	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim.1	Pearson C.1	P-value.1	Occ.1	P-Bonferroni.1	Dim.2	Pearson C.2	P-value.2	Occ.2	P-Bonferroni.2	Dim.3	Pearson C.3	P-value.3	Occ.3	P-Bonferroni.3	Dim.4	Pearson C.4	P-value.4	Occ.4	P-Bonferroni.4	Dim.5	Pearson C.5	P-value.5	Occ.5	P-Bonferroni.5	Dim.6	Pearson C.6	P-value.6	Occ.6	P-Bonferroni.6	Dim.7	Pearson C.7	P-value.7	Occ.7	P-Bonferroni.7	Dim.8	Pearson C.8	P-value.8	Occ.8	P-Bonferroni.8	Dim.9	Pearson C.9	P-value.9	Occ.9	P-Bonferroni.9	Dim.10	Pearson C.10	P-value.10	Occ.10	P-Bonferroni.10	Dim.11	Pearson C.11	P-value.11	Occ.11	P-Bonferroni.11	Dim.12	Pearson C.12	P-value.12	Occ.12	P-Bonferroni.12	Dim.13	Pearson C.13	P-value.13	Occ.13	P-Bonferroni.13	Dim.14	Pearson C.14	P-value.14	Occ.14	P-Bonferroni.14	Dim.15	Pearson C.15	P-value.15	Occ.15	P-Bonferroni.15	Dim.16	Pearson C.16	P-value.16	Occ.16	P-Bonferroni.16	Dim.17	Pearson C.17	P-value.17	Occ.17	P-Bonferroni.17	Dim.18	Pearson C.18	P-value.18	Occ.18	P-Bonferroni.18	Dim.19	Pearson C.19	P-value.19	Occ.19	P-Bonferroni.19
0	0	41_развлечение-когнитивная-способность	-0.15113948024545695	0.030118203641833614	206.0	6.204349950217725	159_реальная_жизнь-выдуманная_жизнь	-0.16787590801083307	0.013062961947479208	218.0	2.847725704550468	121_несовременность-актуальность	-0.17596665354324809	0.03301230807046756	147.0	4.852809286358731	107_мир-драка	0.15147182201586096	0.044161888751301545	177.0	7.816654308980373	6_холодное_отношение-тёплое_отношение	0.24513140568239755	0.008874191522516365	113.0	1.0027836420443492	195_болезнь-работа	0.3698643681019509	0.0003901284067736999	88	0.03433129979608559	258_конец-начало	0.32026921064605673	0.00032280117572801135	122.0	0.03938174343881738	195_болезнь-работа	-0.1720833529035626	0.0451487555207938	136.0	6.140230750827957	240_осторожность-риск	0.3987638073185472	0.0007566050310153106	68.0	0.05144914210904111	143_неважность-значимость	0.3510961129306879	0.0030971408079767857	69.0	0.2137027157503982	30_стихийное_собрание-мероприятия	-0.31578256919119296	0.016717296403224457	57.0	0.952885894983794	184_правонарушение-соблюдение_закона	0.3648618737230661	0.016144178076911497	43.0	0.6941996573071944	54_реальность-когнитивные_процессы	-0.2571840617324704	0.019672807256106508	82.0	1.613170195000734	136_апатия-взбудораженность	0.29915561235654503	0.00912724937096518	75.0	0.6845437028223885	142_равенство-иерархия	0.403071823923039	0.0005409251999563228	70.0	0.037864763996942614	15_древняя_работа-современная_работа	0.4236430669785871	0.002696131632245813	48.0	0.12941431834779904	221_получение_денег-отсутствие_денег	0.4107702483445442	0.017568448246998984	33.0	0.5797587921509665	271_бюрократия-творчество	-0.3785867448556405	0.032625893696514266	32.0	1.0440285982884565	214_спешка-неторопливость	-0.24426231947646	0.012034097494199454	105.0	1.2635802368909428	35_кончина-вечное_искусство	-0.4858312925554309	0.002301056929050989	37.0	0.08513910637488661
1	1	10_рутина-отдых	0.14279048420763352	0.040612765049051716	206.0	8.366229600104653	179_работа-искусство	0.16059675681704594	0.01764552340816655	218.0	3.846724102980308	109_убожество-роскошь	0.16751033080486796	0.04256338119965192	147.0	6.256817036348831						293_соблюдение_закона-правонарушение	-0.2193695046026619	0.019568836950312845	113.0	2.2112785753853514	158_конец-начало	-0.3629429121110255	0.0005102330232012083	88	0.04490050604170633	27_труд-фортуна	-0.2870860887049049	0.0013454949041630936	122.0	0.16415037830789742						30_стихийное_собрание-мероприятия	0.3387300477802224	0.004720698606286575	68.0	0.32100750522748706	157_отсутствие_чувств-чувства	0.2876001722099548	0.016565765074413367	69.0	1.1430377901345226	233_неопределенная_тема-часть_целого	-0.30603403007250185	0.020603663172754826	57.0	1.1744088008470248	284_учеба-производство	-0.3509624501777447	0.02102466749679029	43.0	0.9040607023619828	105_сущность-внешность	0.22346842996561947	0.04357820186838586	82.0	3.5734125532076404	76_мир-война	0.29500554164743675	0.010188410387690198	75.0	0.7641307790767649	13_личные_отношения-иерархические_отношения	-0.33755667476616785	0.004266662198785386	70.0	0.298666353914977	99_благоразумие-безолаберность	-0.35835169684667484	0.012385590479795991	48.0	0.5945083430302075	88_лишение-наделение	-0.3694180434214068	0.034361034597115536	33.0	1.1339141417048126	179_работа-искусство	-0.3572345886370935	0.04472769255398951	32.0	1.4312861617276644	15_древняя_работа-современная_работа	0.22573524164980602	0.020592165135743648	105.0	2.1621773392530828	206_расслабление-напряжение	0.4565841693526279	0.004503515320061786	37.0	0.16663006684228607
2	2	70_единство-разрозренность	-0.14118771204578745	0.04294491102692518	206.0	8.846651671546589	131_процесс-завершение	-0.15325645242880648	0.02362448867438976	218.0	5.150138531016968	70_единство-разрозренность	0.16681815535810135	0.04343841729324708	147.0	6.3854473421073195											228_народ-власть	0.3607972835664377	0.0005538297180235214	88	0.0487370151860699	188_страх-надёжность	-0.258763599836536	0.004003328674401597	122.0	0.4884060982769948						71_изобилие-недостаток	-0.3372283042948184	0.004920664335474578	68.0	0.3346051748122713	30_стихийное_собрание-мероприятия	0.26852951557840354	0.025682974328988528	69.0	1.7721252287002085	143_неважность-значимость	0.27493819424626537	0.038468760085693096	57.0	2.1927193248845063	236_умственный_труд-физический_труд	0.3441967245546085	0.023815584006888456	43.0	1.0240701122962037	278_физический_труд-умственный_труд	-0.21773907156717887	0.04940408776109946	82.0	4.051135196410156	92_жизнь-смерть	-0.2765371400829317	0.016319303399266315	75.0	1.2239477549449735	43_энергия-покой	0.3153193130556385	0.007840847043747731	70.0	0.5488592930623412	229_закрытие-открытие	-0.3168581023283275	0.02821570235101635	48.0	1.3543537128487846	5_польза-вред	0.34545964960623315	0.04894243749945607	33.0	1.61510043748205	71_изобилие-недостаток	0.35050029991729936	0.04921322724736628	32.0	1.574823271915721	283_героизм-малодушие	0.21841285276198166	0.025196749227928673	105.0	2.645658668932511	79_многообразие-единство	0.4325403877514191	0.007501668890894914	37.0	0.2775617489631118
3	3	138_война-мир	-0.14099190924040572	0.043237372104141	206.0	8.906898653453048	228_народ-власть	-0.15126162531952692	0.025524058794847253	218.0	5.564244817276701																122_неопределенная_тема-здоровье	0.35875002029208986	0.0005985793382139414	88	0.05267498176282684	248_спор-согласие	-0.2498303887808469	0.005516615159178042	122.0	0.6730270494197211						72_недостаток-достоинство	-0.3369199832469257	0.004962633027443285	68.0	0.3374590458661433	248_спор-согласие	-0.2665047791053289	0.026862379393978425	69.0	1.8535041781845116						183_неживая_природа-живая_природа	-0.3312513436678092	0.030020111676493426	43.0	1.290864802089217						285_опасность-безопасность	-0.27621705918919515	0.016448817190029767	75.0	1.2336612892522327	20_покой-беспокойство	0.30843947191514864	0.009382458849817737	70.0	0.6567721194872415																97_активность-пассивность	0.21523542804404888	0.02745282700907008	105.0	2.8825468359523585	241_нападение-оборона	0.4247600082439081	0.008781933191705105	37.0	0.32493152809308884
4	4	186_движение-неподвижность	0.1397973196114129	0.045058081226427286	206.0	9.281964732644019	50_проблема-взаимовыручка	0.14943628745648765	0.02737575720340559	218.0	5.9679150703424195																236_умственный_труд-физический_труд	0.3577371817014277	0.0006219191659880924	88	0.05472888660695213	16_воля-неволя	0.2190633232796453	0.015340173056461997	122.0	1.871501112888364						14_изобилие-недостаток	-0.32384824262054873	0.007059415101931866	68.0	0.4800402269313668	235_процесс-итог	0.2651311506003365	0.02768827117032846	69.0	1.910490710752664						207_фантастика-реальность	0.3173976119376572	0.03808397302909123	43.0	1.6376108402509229						238_дистанция-близость	0.2736023463374639	0.01754031102404514	75.0	1.3155233268033857	68_власть-народ	0.2823067418805508	0.017894179103284755	70.0	1.252592537229933																182_светское_общество-религия	-0.21033074547832864	0.031271405965551245	105.0	3.2834976263828812	74_тёплые_чувства-холодные_чувства	0.4134053764401641	0.010982739808581023	37.0	0.40636137291749785
5	5	248_спор-согласие	0.13787315524359706	0.048125460067367364	206.0	9.913844773877676	49_развитие-откат	0.14671995030176166	0.03034384911799205	218.0	6.614959107722268																87_народ-власть	-0.3567643167994136	0.0006451180773456522	88	0.0567703908064174	57_улица-дом	0.21716506248179265	0.016273576039401084	122.0	1.9853762768069323						132_правонарушение-соблюдение_закона	0.3191033208123024	0.007993660060429252	68.0	0.5435688841091891	159_реальная_жизнь-выдуманная_жизнь	-0.2615826958624912	0.02992137191974019	69.0	2.064574662462073						101_фиксация-пересмотр	0.3017008909163025	0.04927881201145265	43.0	2.1189889164924645						64_человеческое_взаимодействие-механическое_взаимодействие	-0.2733839670801844	0.017634221805529527	75.0	1.3225666354147143	277_неживая_природа-живая_природа	-0.270240764508172	0.023662723397726813	70.0	1.6563906378408768																34_духовное_наслаждение-физическое_наслаждение	0.20347600535555696	0.03735321011904762	105.0	3.9220870625000006	243_проблема-решение_проблем	-0.4014416150470431	0.013791805277635438	37.0	0.5102967952725112
6	6	254_свобода-неволя	-0.13699039611913466	0.04958990629949584	206.0	10.215520697696142	262_серьезность-шутка	0.14479232178236484	0.032613008289689153	218.0	7.1096358071522365																14_изобилие-недостаток	-0.3506536906195168	0.0008098401434736285	88	0.0712659326256793	105_сущность-внешность	-0.21254649556464625	0.018752875650957637	122.0	2.287850829416832						143_неважность-значимость	-0.3079856865317163	0.010616807062150112	68.0	0.7219428802262077	170_спокойствие-суматоха	-0.251086950303	0.03742961260102992	69.0	2.5826432694710637																96_наука-быт	0.2718095744257549	0.01832412375917429	75.0	1.3743092819380722	279_соблюдение_закона-правонарушение	-0.26752955999083805	0.0251564089300418	70.0	1.7609486251029258																172_наука-быт	0.19597539304526804	0.04511454781516523	105.0	4.737027520592348	267_неволя-свобода	0.38177532771477296	0.019719768204789524	37.0	0.7296314235772124
7	7						229_закрытие-открытие	-0.14440490167019207	0.033086080303684165	218.0	7.212765506203147																115_наследство-собственность	0.3498197826280604	0.0008350744080563043	88	0.07348654790895477	3_спокойствие-суматоха	-0.20138099058953465	0.026130507964253133	122.0	3.1879219716388816						106_кончина-вечное_искусство	0.30404080357799457	0.011712702360218936	68.0	0.7964637604948877	53_подчинение-неповиновение	-0.2377099322895045	0.049208045065582164	69.0	3.3953551095251693																287_вода-земля	-0.2691553800472047	0.01953960102484524	75.0	1.4654700768633928	194_контроль-бесконтрольность	-0.26604526500880754	0.026007428765471952	70.0	1.8205200135830368																146_разум-чувство	0.19482824180281935	0.04641210651891469	105.0	4.8732711844860415	275_жизненный_процесс-кончина	0.36885842265177504	0.02466898009055725	37.0	0.9127522633506182
8	8						111_нежелание-желание	-0.13845837484236745	0.04111106947772673	218.0	8.962213146144428																240_осторожность-риск	0.3472891753351332	0.0009161001978726848	88	0.08061681741279625	34_духовное_наслаждение-физическое_наслаждение	-0.20045071874055512	0.026844089681582733	122.0	3.274978941153093						192_производство-наука	0.3026694128147847	0.0121159908468881	68.0	0.8238873775883909																					299_веселье-грусть	0.2683776792531499	0.019908554371243087	75.0	1.4931415778432315	192_производство-наука	0.2489060270055522	0.037725550234610335	70.0	2.6407885164227234																53_подчинение-неповиновение	-0.19457682183392505	0.04670058846583197	105.0	4.903561788912357	89_апатия-взбудораженность	-0.3636513985452153	0.026935699433923842	37.0	0.9966208790551822
