	Unnamed: 0	свой_DET	свой_DET.1	свой_DET.2	свой_DET.3	свой_DET.4	он_PRON	он_PRON.1	он_PRON.2	он_PRON.3	он_PRON.4	хотеть_VERB	хотеть_VERB.1	хотеть_VERB.2	хотеть_VERB.3	хотеть_VERB.4	время_NOUN	время_NOUN.1	время_NOUN.2	время_NOUN.3	время_NOUN.4	человек_NOUN	человек_NOUN.1	человек_NOUN.2	человек_NOUN.3	человек_NOUN.4	очень_ADV	очень_ADV.1	очень_ADV.2	очень_ADV.3	очень_ADV.4	мочь_VERB	мочь_VERB.1	мочь_VERB.2	мочь_VERB.3	мочь_VERB.4	мы_PRON	мы_PRON.1	мы_PRON.2	мы_PRON.3	мы_PRON.4	жизнь_NOUN	жизнь_NOUN.1	жизнь_NOUN.2	жизнь_NOUN.3	жизнь_NOUN.4	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	знать_VERB	знать_VERB.1	знать_VERB.2	знать_VERB.3	знать_VERB.4	первый_ADJ	первый_ADJ.1	первый_ADJ.2	первый_ADJ.3	первый_ADJ.4	год_NOUN	год_NOUN.1	год_NOUN.2	год_NOUN.3	год_NOUN.4	произойти_VERB	произойти_VERB.1	произойти_VERB.2	произойти_VERB.3	произойти_VERB.4	день_NOUN	день_NOUN.1	день_NOUN.2	день_NOUN.3	день_NOUN.4	жить_VERB	жить_VERB.1	жить_VERB.2	жить_VERB.3	жить_VERB.4	ничто_PRON	ничто_PRON.1	ничто_PRON.2	ничто_PRON.3	ничто_PRON.4
	Unnamed: 0	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim.1	Pearson C.1	P-value.1	Occ.1	P-Bonferroni.1	Dim.2	Pearson C.2	P-value.2	Occ.2	P-Bonferroni.2	Dim.3	Pearson C.3	P-value.3	Occ.3	P-Bonferroni.3	Dim.4	Pearson C.4	P-value.4	Occ.4	P-Bonferroni.4	Dim.5	Pearson C.5	P-value.5	Occ.5	P-Bonferroni.5	Dim.6	Pearson C.6	P-value.6	Occ.6	P-Bonferroni.6	Dim.7	Pearson C.7	P-value.7	Occ.7	P-Bonferroni.7	Dim.8	Pearson C.8	P-value.8	Occ.8	P-Bonferroni.8	Dim.9	Pearson C.9	P-value.9	Occ.9	P-Bonferroni.9	Dim.10	Pearson C.10	P-value.10	Occ.10	P-Bonferroni.10	Dim.11	Pearson C.11	P-value.11	Occ.11	P-Bonferroni.11	Dim.12	Pearson C.12	P-value.12	Occ.12	P-Bonferroni.12	Dim.13	Pearson C.13	P-value.13	Occ.13	P-Bonferroni.13	Dim.14	Pearson C.14	P-value.14	Occ.14	P-Bonferroni.14	Dim.15	Pearson C.15	P-value.15	Occ.15	P-Bonferroni.15	Dim.16	Pearson C.16	P-value.16	Occ.16	P-Bonferroni.16
0	0	251_недостаток-достоинство	-0.13560592289707527	0.03424762245555783	244.0	8.35641987915611	21_получение_результата-разработка	0.199414906721552	0.002840651635543389	222.0	0.6306246630906323	23_мир-конфликт	0.14345285659406198	0.018570947910090046	269.0	4.9955849878142216	37_низ-верх	-0.11896783685901728	0.04013407708948742	298.0	11.959954972667251	160_победа-поражение	0.17173426381688822	0.04559315167999757	136.0	6.2006686284796695	141_микробиология-неопределенная_тема	0.15267729054003704	0.0029966145150440355	376.0	1.1267270576565571	221_получение_денег-отсутствие_денег	-0.2198974434617427	0.005810740563164348	156.0	0.9064755278536384	236_умственный_труд-физический_труд	-0.12474469885446615	0.009786336166277205	428.0	4.188551879166644	122_неопределенная_тема-здоровье	0.1822204489742772	0.015799393776629124	175.0	2.7648939109100965	263_влияние-зависимость	0.21998602135268766	0.016682967880891818	118.0	1.9685902099452348	237_низшие_слои-высшие_слои	-0.17490712753288493	0.01278536400061092	202	2.5826435281234064	160_победа-поражение	-0.211099920429204	0.0359546124165238	99.0	3.5595066292358566	17_полемика-консенсус	-0.23056406605680116	0.0008557087542849008	206.0	0.17627600338268953	120_усталость-покой	-0.20583831641940012	0.03341737737252397	107.0	3.575659378860065	6_холодное_отношение-тёплое_отношение	0.17161972798346053	0.016724079070285232	194.0	3.2444713396353344	123_отдых-работа	0.19712719787599006	0.02402106212643904	131.0	3.1467591385635143	225_кража-находка	-0.2488707919642689	0.012991606410977824	99.0	1.2861690346868049
1	1	231_злость-радость	0.13429401542079175	0.03604021464083314	244.0	8.793812372363288	264_безопасность-опасность	-0.19198838908951665	0.004089532810931207	222.0	0.9078762840267278						59_увядание-расцвет	0.11861456175180013	0.04073391067961274	298.0	12.138705382524595						291_работа-санкция	-0.14771210790332015	0.0040986301438386075	376.0	1.5410849340833164	142_равенство-иерархия	-0.19542868868218888	0.014489438982844037	156.0	2.260352481323669	7_чужбина-родной_дом	-0.11324044275618846	0.01910746909729993	428.0	8.177996773644372	45_наука-быт	0.170468821513604	0.024104200489224487	175.0	4.2182350856142845	139_свобода-неволя	-0.19582113211631744	0.03357511722626095	118.0	3.9618638326987923	245_любовь-ненависть	0.16967684072209951	0.015772980093305362	202	3.186141978847683	288_радость-недовольство	0.20365459165951974	0.04319245557331633	99.0	4.2760531017583165	290_статистика-отсутствие_системы	-0.21955608591736367	0.0015200549705146693	206.0	0.31313132392602183	137_вертикальные_отношения-горизонтальные_отношения	0.1924667031513078	0.04702027790840895	107.0	5.0311697361997565	39_целостность-пустота	-0.1673723249537847	0.019667036755612998	194.0	3.815405130588921						263_влияние-зависимость	0.2194707295396903	0.02906103391307995	99.0	2.8770423573949158
2	2	116_смерть-жизнь	0.1329136986153203	0.03801147914589476	244.0	9.27480091159832	182_светское_общество-религия	0.19174699999303554	0.0041373763814931295	222.0	0.9184975566914748						276_начало-конец	-0.1157519505568652	0.04587883468242456	298.0	13.671892735362515						223_бытовые_ситуации-глобальные_происшествия	0.14711470266253274	0.0042533828740787495	376.0	1.59927196065361	67_неизменность-изменение	0.1882095063486971	0.01862776799032704	156.0	2.9059318064910173	21_получение_результата-разработка	0.09505117885557056	0.04939867342656989	428.0	21.142632226571916	160_победа-поражение	0.16708757509954858	0.02709955480637876	175.0	4.742422091116283	132_правонарушение-соблюдение_закона	-0.18396433238796572	0.046136234010463684	118.0	5.4440756132347135	177_изыскание-решение	-0.16915015851067824	0.016105187946110447	202	3.2532479651143102	72_недостаток-достоинство	0.20223136109176973	0.044705593028727696	99.0	4.425853709844042	109_убожество-роскошь	0.20885292470752065	0.002589711576060171	206.0	0.5334805846683952						88_лишение-наделение	-0.16588600666795164	0.020797947137231414	194.0	4.034801744622895						249_порыв-покой	0.20697726311180176	0.0398251152246933	99.0	3.942686407244637
3	3	63_мир-война	0.13103991428056974	0.0408326645496292	244.0	9.963170150109523	259_процесс-итог	-0.1912924823770848	0.004228833367810079	222.0	0.9388010076538374																203_концепция-хаотичность	-0.14534680450462198	0.004742746756199939	376.0	1.7832727803311776	227_иерархия-равенство	0.17352058817125982	0.030288113329907145	156.0	4.724945679465514						6_холодное_отношение-тёплое_отношение	-0.16624116112892864	0.02789738471875824	175.0	4.8820423257826935						160_победа-поражение	0.1672642760659691	0.017345288154458575	202	3.503748207200632						44_упорядоченность-однородная_масса	-0.2053274735874952	0.0030695885338949077	206.0	0.6323352379823511						74_тёплые_чувства-холодные_чувства	-0.16136656752574735	0.024588748165148198	194.0	4.7702171440387495						289_недовольство-радость	-0.20647758212039624	0.040317044866195535	99.0	3.9913874417533575
4	4	97_активность-пассивность	-0.12615625908760952	0.049024823685270516	244.0	11.962056979206007	295_прощение-мстительность	0.19079681123131026	0.004330643635385486	222.0	0.961402887055578																164_устранение-дополнение	-0.13974980003590687	0.006644453212589338	376.0	2.4983144079335906	33_абстрактная_работа-конкретная_работа	0.1645814527512341	0.040061765801528586	156.0	6.249635465038461						240_осторожность-риск	0.1590681678523395	0.03550073322272046	175.0	6.21262831397608						78_популярность-безвестность	-0.1650139649750988	0.01893307559826518	202	3.8244812708495664						174_праздник-быт	-0.20021255308051947	0.003909444574645986	206.0	0.8053455823770731						128_неловкость-ловкость	-0.14289651672866074	0.04684841658097787	194.0	9.088592816709706						146_разум-чувство	0.2042444073028812	0.0425779906422754	99.0	4.2152210735852655
5	5						191_техническое_взаимодействие-животные_взаимоотношения	-0.1890028191310924	0.004717835883975511	222.0	1.0473595662425634																287_вода-земля	0.1387441693722497	0.0070508084416445824	376.0	2.6511039740583637	136_апатия-взбудораженность	-0.16313348930453836	0.0418708556725769	156.0	6.531853484921997						99_благоразумие-безолаберность	0.1573759835978001	0.037530306313529965	175.0	6.567803604867742						84_последовательность-разлад	-0.1637871619597039	0.019850701476953832	202	4.009841698344674						163_человек-инструмент	-0.19887066933897232	0.00416164726632354	206.0	0.8572993368626491																177_изыскание-решение	0.1987275239011275	0.048619147650347666	99.0	4.813295617384419
6	6						87_народ-власть	0.1885004156210678	0.004831708401220007	222.0	1.0726392650708414																146_разум-чувство	0.13844505884209485	0.007175888703254316	376.0	2.698134152423622	115_наследство-собственность	0.16210663900399594	0.04319489042748712	156.0	6.738402906687992						261_болезнь-здоровье	0.14869651044950236	0.04954111851674405	175.0	8.669695740430209						267_неволя-свобода	0.16273430570697198	0.020668702268193458	202	4.175077858175079						14_изобилие-недостаток	0.1968295278026588	0.004573429942051393	206.0	0.9421265680625871																				
7	7						54_реальность-когнитивные_процессы	-0.1878526486240293	0.004982171128817207	222.0	1.10604199059742																266_мир-война	-0.13757529658249826	0.007550947262708474	376.0	2.839156170778386	156_физический_труд-умственный_труд	-0.16157510033770686	0.043893911946790126	156.0	6.84745026369926																3_спокойствие-суматоха	0.1623900572802312	0.02094241396486592	202	4.230367620902915						108_творчество-власть	0.19477857485851235	0.005023730147199711	206.0	1.0348884103231406																				
8	8						226_человек-транспорт	-0.18700630754057174	0.00518509462785469	222.0	1.1510910073837413																231_злость-радость	-0.1373890934957054	0.007633481035526986	376.0	2.8701888693581465	209_отрицание-утверждение	-0.16133204988506802	0.04421668243483412	156.0	6.897802459834122																105_сущность-внешность	0.16145958584127731	0.02169797337357001	202	4.382990621461143						278_физический_труд-умственный_труд	0.19395689104811087	0.005215028644525924	206.0	1.0742959007723405																				
