	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	199	0.2311381338584114	0.0005821631709568934	218.0	0.12691157126860275	151	0.1917374549045385	0.019993172505295434	147.0	2.9389963582784286	5	0.23552225806388097	0.027176152373235615	88.0	2.391501408844734	218	0.1885190769778888	0.010596778114169935	183.0	1.939210394893098	191	-0.16071170197666224	0.008151476558907673	270.0	2.200898670905072	78	-0.2385068173326844	0.005170064322086482	136.0	0.7031287478037616	213	0.18861969673808004	0.027867948948741422	136.0	3.7900410570288336	56	-0.30793523956147245	0.010630238388046989	68.0	0.7228562103871953	83	-0.2249686902216881	0.005030211229768369	154.0	0.7746525293843288	143	0.3973093806616595	0.002211832175651073	57.0	0.12607443401211116	217	-0.39153657790610674	0.009420769203904616	43.0	0.4050930757678985	236	-0.390375691921458	0.0005353106330728492	75	0.040148297480463696	229	-0.42522364139664237	0.00024310726595613524	70.0	0.017017508616929466	214	0.38280651935787424	0.00724459806183504	48.0	0.3477407069680819	42	0.5046877582938177	0.00274263128577481	33.0	0.09050683243056874	129	0.41663320374074414	0.01768916358321507	32.0	0.5660532346628823	63	0.26604135742274715	0.0060862281464839135	105.0	0.6390539553808109	235	0.2909830371019062	0.018693170304273168	65.0	1.215056069777756	177	0.40847846663934484	0.01207430355780264	37.0	0.44674923163869773
1	161	-0.18095029332032403	0.007395577854405832	218.0	1.6122359722604713	72	-0.1654229196862473	0.0452480024352905	147.0	6.651456357987704	160	-0.23055058620178856	0.03069259648764968	88.0	2.700948490913172	236	0.18769572782445365	0.010947921438328342	183.0	2.0034696232140865	145	-0.14800686940898353	0.014927276379748005	270.0	4.030364622531962	17	0.19629866822415137	0.021997134805603186	136.0	2.991610333562033						204	0.24875644345688008	0.04080136327157042	68.0	2.7744927024667887	14	0.21372960756858655	0.0077785889355003026	154.0	1.1979026960670467	258	0.3393399781767156	0.009813847095884608	57.0	0.5593892844654227	201	0.3766846174821448	0.012782689074331279	43.0	0.549655630196245	202	-0.36170565563409857	0.001429889802925102	75	0.10724173521938266	139	0.34402227950124054	0.0035450209821217982	70.0	0.24815146874852587	133	0.33605377125869945	0.019530676200362206	48.0	0.9374724576173858	226	0.485709644993966	0.004163963488330603	33.0	0.1374107951149099	229	-0.3572903685815817	0.044691954962779626	32.0	1.430142558808948	15	0.2602746546229938	0.007329786359473665	105.0	0.7696275677447348	261	-0.28758005654194685	0.02018662182527644	65.0	1.3121304186429685	176	0.4080851296260978	0.012165276441403215	37.0	0.45011522833191897
2	298	-0.1773262805128334	0.008691228640604643	218.0	1.8946878436518122	180	0.1634553290711974	0.04790642723828741	147.0	7.0422448040282495	198	-0.2303752566592086	0.030823304296295883	88.0	2.7124507780740377	56	-0.1766587191146411	0.016744717484764332	183.0	3.0642832997118727	99	-0.14300217357885653	0.018725097524067168	270.0	5.055776331498135	176	-0.17843793776001945	0.03766981803193152	136.0	5.1230952523426865						245	-0.2397738775274367	0.04890715026728391	68.0	3.3256862181753055	279	-0.16952921283446676	0.035561958890520086	154.0	5.476541669140094	136	-0.3080868377797818	0.01972711216974372	57.0	1.124445393675392	13	0.3756807472704414	0.013042806505732089	43.0	0.5608406797464798	51	0.35994202486985505	0.0015146247746469603	75	0.11359685809852202	78	0.33589080466235044	0.004472515423236673	70.0	0.3130760796265671	131	-0.3298713112049296	0.02204004724091905	48.0	1.0579222675641144	218	0.4576078730817395	0.007413993859475655	33.0	0.24466179736269664						34	0.259190895547397	0.007587082042756777	105.0	0.7966436144894615	198	0.26445768616055937	0.033269500270862166	65.0	2.162517517606041	5	0.3667818578177539	0.02555323725315716	37.0	0.945469778366815
3	129	-0.15530750869008805	0.021799652296645076	218.0	4.752324200668626						76	0.2260647828213468	0.03418751257641915	88.0	3.0085011067248852	144	-0.1721730138505445	0.019775235661950604	183.0	3.6188681261369604	197	0.13547763566383333	0.026009533606347276	270.0	7.0225740737137645	184	-0.17578917569063726	0.040649887957070446	136.0	5.528384762161581																233	-0.2853876146222331	0.03140793918444343	57.0	1.7902525335132755	206	0.3752167236238128	0.013164556481314638	43.0	0.5660759286965295	97	0.3468787034163672	0.00229705903266217	75	0.17227942744966276	76	-0.33241339305366785	0.004930784989115927	70.0	0.3451549492381149	71	0.32512918285819997	0.024143833347441992	48.0	1.1589040006772156	188	-0.44735073128787434	0.009046897736232335	33.0	0.2985476252956671						46	-0.25308082346847055	0.009192404356258201	105.0	0.9652024574071111	288	-0.249050770654806	0.04543596817342736	65.0	2.9533379312727788	42	0.33920196635832783	0.039994728157416747	37.0	1.4798049418244197
4	249	-0.14989415234306247	0.026900785464656143	218.0	5.864371231295039						148	-0.2220054030402614	0.03763247353112546	88.0	3.3116576707390406	76	0.16762690174034725	0.02332008842004309	183.0	4.267576180867885	26	0.12465322989558848	0.040682809412865735	270.0	10.984358541473748	289	0.16847882228606698	0.0499154866254203	136.0	6.788506181057161																251	0.2684308009548182	0.04349462171267841	57.0	2.479193437622669	76	0.36648517872747166	0.015642460809453054	43.0	0.6726258148064813	251	-0.34103291932063823	0.002752214761518462	75	0.20641610711388464	192	0.32736719500570965	0.005669593086311086	70.0	0.39687151604177606	98	0.3219899625818458	0.02562710946216948	48.0	1.230101254184135	172	0.44560143436455363	0.009353789368000836	33.0	0.3086750491440276						276	-0.23547124601727146	0.015602476308192018	105.0	1.6382600123601618						296	-0.33396097049199913	0.04337351692810449	37.0	1.604820126339866
5	168	-0.14908392039162366	0.027746165269175737	218.0	6.048664028680311						21	-0.2218156663308542	0.03780034390200637	88.0	3.326430263376561	140	0.15606393398152463	0.03488664608587761	183.0	6.384256233715603	70	0.12211761263662418	0.04498477266249478	270.0	12.14588861887359																					240	-0.26672385498573753	0.044898684300356935	57.0	2.559225005120345	238	0.3660662468438121	0.015770659283103356	43.0	0.6781383491734443	167	0.3359575687955906	0.0032110899532698848	75	0.24083174649524136	158	0.32726052303981795	0.0056862115132207715	70.0	0.398034805925454	31	0.3213116128847102	0.025957444808276286	48.0	1.2459573507972617	84	0.4303319138203563	0.012427552722103712	33.0	0.4101092398294225						290	0.23145284270183947	0.017518087804019616	105.0	1.8393992194220596										
6	252	-0.14521116010114718	0.032108055772541666	218.0	6.999556158414083						149	-0.22015163184790715	0.0392995904366036	88.0	3.458363958421117	139	-0.15535666926826097	0.03572947537076471	183.0	6.538493992849942																															61	-0.36531134795965436	0.016003914084413297	43.0	0.6881683056297717	184	-0.3327185598177796	0.0035384975294078277	75	0.2653873147055871	128	-0.31435595967001984	0.008042384893245167	70.0	0.5629669425271616	99	-0.315265678898223	0.029061904668244976	48.0	1.394971424075759	24	-0.4279667417637596	0.0129723087471034	33.0	0.4280861886544122						52	0.2278365584219775	0.01941240267106053	105.0	2.0383022804613553										
7	201	-0.14315840349797193	0.03464791989692861	218.0	7.553246537530437						156	0.21632479618937753	0.04293638409160736	88.0	3.778401800061448	18	-0.14775489118933524	0.04592689627137532	183.0	8.404622017661683																															173	0.35323508778948787	0.02015105714947114	43.0	0.8664954574272591	47	-0.3303669902728122	0.00379450492045736	75	0.284587869034302	198	0.309091380770208	0.00922583143344398	70.0	0.6458082003410787	190	0.29571428147552836	0.04128540561430974	48.0	1.9816994694868675	152	0.4258823198185259	0.013468906441385046	33.0	0.4444739125657065						72	-0.2262352624802907	0.020305987243685018	105.0	2.1321286605869267										
8	64	0.13623151117657287	0.04451092980121497	218.0	9.703382696664862						147	0.21241029166028255	0.04694133779107735	88.0	4.130837725614807																																				180	-0.352569252028789	0.020403789783639745	43.0	0.8773629606965091	174	-0.3264714339696346	0.0042550055790074705	75	0.3191254184255603	176	-0.30526677408439296	0.010178287019970814	70.0	0.712480091397957	96	-0.2956790324302218	0.04131075072349916	48.0	1.9829160347279595	293	0.42564430862045427	0.013526612721678013	33.0	0.4463782198153744						32	0.22536626997477763	0.020805555097331258	105.0	2.184583285219782										
